Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Wait,MPI_Sendrecv,MPI_Bcast,MPI_Cart_get,MPI_Cart_shift,MPI_Alltoallv,MPI_Waitany,MPI_Init,MPI_Allreduce,MPI_Comm_size,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Finalize,MPI_Irecv,MPI_Comm_free,MPI_Cart_rank,MPI_Comm_rank,MPI_Allgather,Processes,Size
in.rhodo-single,65.86,32.98,60.79,54.84,61.1,13.28,320.14,34.43,1.95,9.86,0.0,0.0,1.48,17.21,3.29,27.78,0.0,0.19,0.0,2.68,0.13,0.59,0.19,0.02,0.02,0.0,0.0,0.0,0.2,16.0,864.0
in.rhodo-single,74.25,44.73,70.31,60.9,64.53,18.97,488.15,23.83,0.78,13.21,0.0,0.0,3.01,18.51,7.63,30.51,0.0,0.01,0.0,0.93,0.01,0.95,0.46,0.03,0.02,0.0,0.0,0.0,0.13,32.0,864.0
in.rhodo-single,80.22,48.87,73.56,51.31,53.87,14.25,641.03,17.76,0.94,7.59,0.0,0.0,8.55,14.98,22.76,23.22,0.0,0.01,0.0,0.9,0.31,1.71,0.94,0.29,0.03,0.0,0.0,0.0,0.01,64.0,864.0
in.rhodo-single,0.41,0.41,0.41,0.0,0.0,0.0,0.08,0.0,0.0,0.23,0.0,0.0,34.16,0.0,61.74,0.9,0.0,1.92,0.0,0.0,0.15,0.16,0.04,0.0,0.0,0.01,0.0,0.01,0.65,1.0,2048.0
in.rhodo-single,22.18,9.51,16.1,2.95,3.11,2.8,2.15,1.53,1.23,25.33,0.0,0.0,0.83,0.0,51.89,10.62,0.0,0.07,0.0,0.4,0.03,7.41,0.65,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048.0
in.rhodo-single,55.6,10.12,32.9,30.96,54.49,6.33,307.54,53.3,2.91,2.0,0.0,0.0,0.02,2.9,0.38,20.62,0.0,0.03,0.0,17.53,0.02,0.17,0.1,0.01,0.01,0.0,0.0,0.0,0.0,4.0,2048.0
in.rhodo-single,54.82,9.58,43.27,40.67,53.12,4.07,402.75,59.54,3.25,1.5,0.0,0.0,0.01,4.62,0.77,21.84,0.0,0.05,0.0,7.97,0.02,0.31,0.1,0.01,0.02,0.0,0.0,0.0,0.0,8.0,2048.0
in.rhodo-single,57.14,15.42,51.2,47.64,53.79,6.01,508.94,43.27,1.8,1.26,0.0,0.0,0.08,21.49,2.03,23.22,0.0,0.0,0.0,6.44,0.05,0.25,0.08,0.01,0.02,0.0,0.0,0.0,0.0,16.0,2048.0
in.rhodo-single,63.02,25.43,58.48,52.31,55.8,8.8,679.33,31.44,1.21,4.31,0.0,0.0,1.08,25.08,5.45,27.77,0.0,0.01,0.0,2.73,0.06,0.64,0.14,0.05,0.02,0.0,0.0,0.0,0.0,32.0,2048.0
in.rhodo-single,69.23,31.92,62.69,48.05,50.73,8.72,898.84,25.73,0.76,1.87,0.0,0.0,3.14,19.92,16.18,30.3,0.0,0.01,0.0,1.14,0.01,0.68,0.05,0.18,0.03,0.0,0.0,0.0,0.0,64.0,2048.0
