Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_size,MPI_Init,MPI_Comm_dup,MPI_Comm_rank,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Irecv,MPI_Cart_shift,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.eam-long,4.44,3.2,3.84,0.19,0.4,0.03,39.74,2.03,14.63,0.37,0.0,0.0,0.0,0.04,61.1,0.0,16.84,0.0,0.0,0.0,0.0,4.24,0.73,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,8.0,256.0
in.eam-long,7.15,5.41,6.56,0.2,0.38,0.04,71.18,1.82,11.81,0.42,0.0,0.0,0.0,0.05,52.5,0.0,30.66,0.0,0.0,0.0,0.0,1.97,0.74,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,16.0,256.0
in.eam-long,12.07,9.49,10.73,0.15,0.25,0.05,126.36,2.01,8.87,0.52,0.0,0.0,0.0,0.1,48.16,0.0,38.27,0.0,0.0,0.0,0.0,1.31,0.72,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,32.0,256.0
in.eam-long,28.83,22.09,25.47,0.2,0.46,0.06,392.29,2.0,5.65,0.05,0.0,0.0,0.0,0.16,46.49,0.0,43.89,0.0,0.0,0.0,0.0,0.93,0.57,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,64.0,256.0
in.eam-long,2.92,1.19,1.86,0.19,0.28,0.1,65.63,1.85,26.07,0.1,0.0,0.0,0.0,0.01,53.59,0.0,5.52,0.0,0.0,0.0,0.0,12.46,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,864.0
in.eam-long,2.79,2.0,2.44,0.14,0.18,0.05,86.83,2.32,17.43,0.22,0.0,0.0,0.0,0.02,61.86,0.0,6.57,0.0,0.0,0.0,0.0,10.96,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,864.0
in.eam-long,3.98,2.65,3.55,0.16,0.33,0.03,131.46,2.11,17.44,0.22,0.0,0.0,0.0,0.03,60.6,0.0,11.74,0.0,0.0,0.0,0.0,7.06,0.78,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,16.0,864.0
in.eam-long,6.52,4.64,5.57,0.15,0.44,0.06,220.33,2.28,13.03,0.33,0.0,0.0,0.0,0.06,56.26,0.0,23.32,0.0,0.0,0.0,0.0,3.79,0.92,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,32.0,864.0
in.eam-long,12.92,9.37,11.03,0.29,0.59,0.11,547.93,2.7,7.63,0.21,0.0,0.0,0.0,0.09,56.38,0.0,30.83,0.0,0.0,0.0,0.0,1.41,0.74,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,64.0,864.0
in.eam-long,2.11,1.34,1.65,0.6,0.87,0.45,139.73,2.36,25.43,0.04,0.0,0.0,0.0,0.0,47.38,0.0,1.56,0.0,0.0,0.0,0.0,22.98,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2048.0
in.eam-long,3.2,1.63,2.55,0.48,0.8,0.29,218.44,1.47,14.3,0.05,0.0,0.0,0.0,0.01,60.84,0.0,3.71,0.0,0.0,0.0,0.0,19.27,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2048.0
in.eam-long,3.92,2.61,3.12,0.39,0.47,0.28,276.94,1.93,17.54,0.12,0.0,0.0,0.0,0.01,55.73,0.0,5.76,0.0,0.0,0.0,0.0,18.38,0.53,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,16.0,2048.0
in.eam-long,5.53,3.37,4.5,0.23,0.38,0.13,430.53,1.83,14.51,0.12,0.0,0.0,0.0,0.03,57.01,0.0,13.89,0.0,0.0,0.0,0.0,11.97,0.64,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,32.0,2048.0
in.eam-long,10.58,5.33,7.53,0.2,0.52,0.04,887.01,2.61,9.88,0.14,0.0,0.0,0.0,0.05,62.06,0.0,19.26,0.0,0.0,0.0,0.0,5.29,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2048.0
in.lj-long,11.97,9.62,10.4,0.2,0.27,0.02,5.88,0.22,17.12,1.36,0.01,0.0,0.0,0.09,43.25,0.0,36.57,0.0,0.0,0.0,0.0,0.7,0.65,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,4.0,32.0
in.lj-long,30.37,18.29,25.22,0.13,0.32,0.01,17.77,0.07,7.7,0.57,0.0,0.0,0.0,0.06,33.33,0.0,57.16,0.0,0.0,0.0,0.01,0.52,0.56,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,8.0,32.0
in.lj-long,39.21,26.92,31.81,0.32,0.56,0.0,26.6,0.11,6.97,1.08,0.0,0.0,0.0,0.13,43.64,0.0,46.58,0.0,0.0,0.0,0.01,0.85,0.61,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,16.0,32.0
in.lj-long,61.73,49.43,53.12,0.32,0.74,0.0,73.5,0.08,3.64,0.64,0.0,0.0,0.0,0.18,42.26,0.0,51.8,0.0,0.0,0.0,0.0,0.94,0.43,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,32.0,32.0
in.lj-long,80.17,67.16,69.69,0.23,0.82,0.0,156.95,0.07,2.66,0.29,0.0,0.0,0.0,0.33,14.2,0.0,81.18,0.0,0.0,0.0,0.01,0.53,0.44,0.0,0.0,0.0,0.0,0.28,0.0,0.01,0.0,64.0,32.0
in.lj-long,3.56,3.31,3.45,0.08,0.11,0.05,14.09,0.3,21.23,0.46,0.01,0.0,0.0,0.04,57.02,0.0,17.3,0.0,0.0,0.0,0.0,3.18,0.46,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,4.0,256.0
in.lj-long,6.09,4.95,5.45,0.38,0.79,0.08,22.76,0.29,16.56,0.72,0.0,0.0,0.0,0.06,58.29,0.0,20.98,0.0,0.0,0.0,0.0,2.39,0.68,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,8.0,256.0
in.lj-long,10.88,7.76,8.95,0.17,0.37,0.05,39.85,0.24,13.31,0.86,0.0,0.0,0.0,0.1,51.96,0.0,31.64,0.0,0.0,0.0,0.01,1.17,0.7,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,16.0,256.0
in.lj-long,24.98,14.93,16.93,0.2,0.38,0.06,85.79,0.18,8.44,0.68,0.0,0.0,0.0,0.15,44.95,0.0,44.2,0.0,0.0,0.0,0.0,0.79,0.56,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,32.0,256.0
in.lj-long,42.32,29.52,32.8,0.14,0.22,0.01,229.13,0.08,5.46,0.1,0.0,0.0,0.0,0.26,37.82,0.0,54.64,0.0,0.0,0.0,0.01,0.74,0.5,0.0,0.0,0.0,0.0,0.39,0.0,0.01,0.0,64.0,256.0
in.lj-long,2.31,1.76,2.06,0.11,0.13,0.09,29.65,0.09,42.34,0.14,0.0,0.0,0.0,0.02,43.71,0.0,7.04,0.0,0.0,0.0,0.0,6.02,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,864.0
in.lj-long,3.58,2.75,3.18,0.08,0.21,0.04,47.04,0.24,21.05,0.34,0.0,0.0,0.0,0.03,57.98,0.0,14.07,0.0,0.0,0.0,0.0,5.55,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,864.0
in.lj-long,6.09,4.36,4.99,0.13,0.21,0.03,78.86,0.23,20.08,0.39,0.0,0.0,0.0,0.05,57.68,0.0,17.57,0.0,0.0,0.0,0.01,3.12,0.85,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,16.0,864.0
in.lj-long,10.51,6.98,8.39,0.19,0.6,0.02,148.49,0.19,13.39,0.29,0.0,0.0,0.0,0.08,58.36,0.0,25.1,0.0,0.0,0.0,0.0,1.7,0.86,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,32.0,864.0
in.lj-long,20.27,14.7,16.32,0.08,0.19,0.01,366.73,0.07,7.94,0.09,0.0,0.0,0.0,0.14,55.32,0.0,34.54,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,64.0,864.0
in.lj-long,2.01,1.24,1.58,0.15,0.18,0.11,54.5,0.07,40.67,0.09,0.0,0.0,0.0,0.01,43.61,0.0,3.95,0.0,0.0,0.0,0.0,11.25,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2048.0
in.lj-long,3.18,2.29,2.72,0.36,0.44,0.16,97.76,0.06,22.05,0.11,0.0,0.0,0.0,0.01,59.79,0.0,7.12,0.0,0.0,0.0,0.0,10.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2048.0
in.lj-long,4.29,3.24,3.7,0.25,0.38,0.14,141.98,0.79,24.3,0.25,0.0,0.0,0.0,0.03,56.83,0.0,8.81,0.0,0.0,0.0,0.0,8.31,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2048.0
in.lj-long,6.91,5.01,5.84,0.32,0.58,0.16,256.69,0.17,16.74,0.2,0.0,0.0,0.0,0.05,62.01,0.0,15.1,0.0,0.0,0.0,0.0,4.93,0.78,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,32.0,2048.0
in.lj-long,10.24,7.2,8.6,0.13,0.28,0.02,487.26,0.11,12.93,0.11,0.0,0.0,0.0,0.1,57.09,0.0,25.84,0.0,0.0,0.0,0.0,2.7,0.98,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,64.0,2048.0
in.rhodo-long,5.22,3.15,4.51,0.61,1.2,0.18,30.1,11.81,16.01,0.67,0.0,0.0,0.0,0.02,49.01,0.0,9.28,0.03,0.0,0.0,0.0,2.45,0.64,0.0,10.05,0.0,0.0,0.01,0.01,0.0,0.01,4.0,32.0
in.rhodo-long,10.2,7.0,8.48,1.53,2.01,1.25,60.24,19.46,12.27,0.75,0.0,0.0,0.0,0.03,40.81,0.0,12.41,0.03,0.0,0.0,0.0,1.74,0.83,0.0,11.62,0.0,0.0,0.01,0.01,0.0,0.03,8.0,32.0
in.rhodo-long,18.1,12.83,15.38,4.22,5.77,2.62,122.47,30.79,9.97,0.92,0.0,0.0,0.0,0.03,34.23,0.0,12.82,0.03,0.0,0.0,0.0,1.06,0.94,0.0,9.16,0.0,0.0,0.03,0.01,0.0,0.02,16.0,32.0
in.rhodo-long,28.07,20.88,24.21,3.24,4.79,2.38,239.36,22.31,9.52,1.13,0.0,0.0,0.0,0.05,32.01,0.0,22.63,0.03,0.0,0.0,0.0,0.89,1.1,0.0,10.25,0.0,0.0,0.01,0.01,0.0,0.05,32.0,32.0
in.rhodo-long,41.94,32.96,37.84,2.97,4.19,2.05,566.04,17.16,9.46,0.67,0.0,0.0,0.01,0.09,29.75,0.0,29.93,0.03,0.0,0.0,0.0,0.83,1.34,0.0,10.41,0.0,0.0,0.01,0.09,0.0,0.23,64.0,32.0
in.rhodo-long,2.0,1.54,1.74,0.51,0.7,0.38,93.65,13.64,27.85,0.28,0.0,0.0,0.0,0.01,33.1,0.0,5.05,0.01,0.0,0.0,0.0,9.39,0.48,0.0,10.17,0.0,0.0,0.0,0.01,0.0,0.01,4.0,256.0
in.rhodo-long,3.84,2.74,3.52,0.78,1.08,0.36,191.66,18.35,14.93,0.31,0.0,0.0,0.0,0.01,47.14,0.0,2.74,0.01,0.0,0.0,0.0,7.08,0.49,0.0,8.93,0.0,0.0,0.01,0.01,0.0,0.01,8.0,256.0
in.rhodo-long,5.88,3.64,4.74,0.66,1.6,0.37,268.42,13.83,15.01,0.5,0.0,0.0,0.0,0.01,45.18,0.0,5.96,0.02,0.0,0.0,0.0,5.85,0.71,0.0,12.88,0.0,0.0,0.01,0.01,0.0,0.03,16.0,256.0
in.rhodo-long,10.35,6.07,8.62,1.18,2.52,0.72,535.41,17.54,12.69,0.56,0.0,0.0,0.0,0.02,40.6,0.0,9.86,0.01,0.0,0.0,0.0,3.3,0.83,0.0,14.51,0.0,0.0,0.01,0.01,0.0,0.04,32.0,256.0
in.rhodo-long,16.36,11.53,13.87,2.09,3.01,1.42,1117.76,20.71,10.36,0.38,0.0,0.0,0.0,0.04,37.47,0.0,15.87,0.01,0.0,0.0,0.0,1.85,0.89,0.0,12.21,0.0,0.0,0.01,0.04,0.0,0.15,64.0,256.0
in.rhodo-long,2.01,1.43,1.71,1.02,1.96,0.51,318.51,14.6,33.89,0.12,0.0,0.0,0.0,0.0,28.7,0.0,0.73,0.0,0.0,0.0,0.0,14.46,0.21,0.0,7.26,0.0,0.0,0.0,0.01,0.0,0.0,4.0,864.0
