Benchmark,MPI_(%),MPI_Time,MPI_Comm_size,MPI_Allreduce,MPI_Cart_get,MPI_Bcast,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Finalize,MPI_Cart_rank,MPI_Scan,MPI_Comm_free,MPI_Init,MPI_Send,MPI_Alltoall,MPI_Reduce,MPI_Alltoallv,MPI_Wait,MPI_Sendrecv,MPI_Waitany,MPI_Comm_dup,MPI_Cart_create,MPI_Reduce_scatter,MPI_Comm_rank,MPI_Irecv,Processes,Size
in.lj,32.39,39.73,0.0,1.06,0.0,0.77,0.01,0.0,0.0,0.16,0.0,0.0,0.0,13.19,25.89,0.0,0.0,0.0,56.16,2.72,0.0,0.0,0.01,0.0,0.0,0.03,4.0,864.0
in.lj,31.43,49.23,0.0,0.58,0.0,1.12,0.01,0.0,0.0,0.08,0.0,0.01,0.0,28.91,1.3,0.0,0.0,0.0,65.02,2.93,0.0,0.0,0.01,0.0,0.0,0.04,8.0,864.0
in.lj,29.54,58.51,0.0,1.88,0.0,1.13,0.01,0.0,0.0,0.14,0.0,0.0,0.0,41.65,0.91,0.0,0.0,0.0,52.65,1.54,0.0,0.0,0.03,0.0,0.0,0.06,16.0,864.0
in.lj,18.82,78.51,0.0,0.58,0.0,2.04,0.01,0.0,0.0,0.2,0.0,0.01,0.0,71.82,0.44,0.0,0.0,0.0,23.66,1.19,0.0,0.0,0.03,0.0,0.0,0.03,32.0,864.0
in.lj,11.19,89.45,0.0,1.31,0.0,0.64,0.01,0.0,0.0,0.29,0.0,0.01,0.0,84.21,0.25,0.0,0.0,0.0,12.86,0.38,0.0,0.0,0.03,0.0,0.0,0.02,64.0,864.0
in.lj,0.0,3.6,0.0,0.08,0.01,0.21,0.05,0.01,0.0,0.0,0.01,0.03,0.04,99.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.0,1.0,2048.0
in.lj,9.56,61.04,0.0,9.95,0.0,0.74,0.04,0.0,0.0,0.0,0.0,0.0,0.0,82.8,0.16,0.0,0.0,0.0,1.22,5.05,0.0,0.0,0.03,0.0,0.0,0.0,2.0,2048.0
in.lj,35.11,38.79,0.0,0.69,0.0,0.17,0.16,0.0,0.0,0.06,0.0,0.0,0.0,6.36,32.2,0.0,0.0,0.0,57.37,2.96,0.0,0.0,0.0,0.0,0.0,0.03,4.0,2048.0
in.lj,37.6,46.52,0.0,0.82,0.0,0.58,0.01,0.0,0.0,0.07,0.0,0.0,0.0,14.44,1.74,0.0,0.0,0.0,79.91,2.38,0.0,0.0,0.0,0.0,0.0,0.04,8.0,2048.0
in.lj,33.87,49.96,0.0,2.26,0.0,0.66,0.01,0.0,0.0,0.08,0.0,0.0,0.0,24.24,3.4,0.0,0.0,0.0,66.98,2.25,0.0,0.0,0.02,0.0,0.0,0.09,16.0,2048.0
