Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.lj-double,256,8,Comm,0.079034,0.16405,0.2159,10.4,20.24
in.lj-double,256,8,Output,0.00019684,0.00021735,0.00022872,0.0,0.03
in.lj-double,256,8,Modify,0.046575,0.053162,0.062663,2.8,6.56
in.lj-double,256,8,Other,,0.01186,,,1.46
in.lj-double,256,16,Pair,0.24521,0.26362,0.31953,5.0,62.64
in.lj-double,256,16,Neigh,0.026846,0.027276,0.02838,0.2,6.48
in.lj-double,256,16,Comm,0.046371,0.099859,0.12067,8.2,23.73
in.lj-double,256,16,Output,0.00013166,0.00014276,0.00015839,0.0,0.03
in.lj-double,256,16,Modify,0.021216,0.023304,0.026671,1.3,5.54
in.lj-double,256,16,Other,,0.006675,,,1.59
in.lj-double,256,32,Pair,0.093947,0.11941,0.17224,4.2,55.50
in.lj-double,256,32,Neigh,0.01082,0.01359,0.014401,0.7,6.32
in.lj-double,256,32,Comm,0.020019,0.073421,0.10303,5.6,34.13
in.lj-double,256,32,Output,6.7173e-05,0.00016875,0.00063528,0.0,0.08
in.lj-double,256,32,Modify,0.0059148,0.0068522,0.0075767,0.5,3.18
in.lj-double,256,32,Other,,0.001699,,,0.79
in.lj-double,256,64,Pair,0.047669,0.061115,0.1128,4.8,44.40
in.lj-double,256,64,Neigh,0.0056684,0.0069422,0.0081144,0.9,5.04
in.lj-double,256,64,Comm,0.01308,0.06544,0.079888,4.8,47.54
in.lj-double,256,64,Output,5.7275e-05,0.00012053,0.00046974,0.0,0.09
in.lj-double,256,64,Modify,0.0027315,0.0033357,0.0037767,0.5,2.42
in.lj-double,256,64,Other,,0.0007035,,,0.51
in.lj-double,864,2,Pair,5.3542,5.4643,5.5744,4.7,77.18
in.lj-double,864,2,Neigh,0.5195,0.53243,0.54535,1.8,7.52
in.lj-double,864,2,Comm,0.34452,0.46982,0.59513,18.3,6.64
in.lj-double,864,2,Output,0.001066,0.0010758,0.0010856,0.0,0.02
in.lj-double,864,2,Modify,0.52631,0.52801,0.52971,0.2,7.46
in.lj-double,864,2,Other,,0.08415,,,1.19
in.lj-double,864,4,Pair,2.907,3.0283,3.1986,6.3,72.67
in.lj-double,864,4,Neigh,0.27798,0.28838,0.30295,1.9,6.92
in.lj-double,864,4,Comm,0.27884,0.47307,0.62624,19.2,11.35
in.lj-double,864,4,Output,0.0005858,0.00059104,0.00060635,0.0,0.01
in.lj-double,864,4,Modify,0.30499,0.32344,0.33934,2.3,7.76
in.lj-double,864,4,Other,,0.05367,,,1.29
in.lj-double,864,8,Pair,1.684,1.7364,1.8683,4.5,70.26
in.lj-double,864,8,Neigh,0.14801,0.15923,0.16955,1.5,6.44
in.lj-double,864,8,Comm,0.2314,0.35818,0.41909,9.9,14.49
