Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Reduce,MPI_Alltoall,MPI_Wait,MPI_Send,MPI_Irecv,MPI_Reduce_scatter,MPI_Allreduce,MPI_Bcast,MPI_Cart_rank,MPI_Comm_free,MPI_Cart_shift,MPI_Sendrecv,MPI_Cart_create,MPI_Comm_size,MPI_Comm_rank,MPI_Cart_get,MPI_Alltoallv,MPI_Finalize,MPI_Comm_dup,MPI_Barrier,MPI_Waitany,MPI_Scan,MPI_Init,MPI_Allgather,Processes,Size
in.eam,77.77,43.71,64.49,29.87,36.35,2.38,81.82,0.44,0.0,44.19,0.48,0.04,0.0,6.84,0.89,0.0,0.0,0.0,0.45,0.01,0.0,0.0,0.0,0.0,0.68,0.0,0.01,0.0,0.01,45.97,0.0,32.0,864.0
in.eam,90.8,67.11,81.82,18.96,20.97,0.98,206.02,0.0,0.0,22.67,0.25,0.02,0.0,3.47,0.56,0.0,0.0,0.0,0.37,0.02,0.0,0.0,0.0,0.0,0.23,0.0,0.48,0.0,0.01,71.93,0.0,64.0,864.0
in.eam,4.28,4.28,4.28,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.22,0.01,0.04,0.01,0.0,0.3,0.0,0.01,0.01,0.0,0.0,0.0,0.06,0.0,0.03,99.23,0.0,1.0,2048.0
in.eam,74.68,32.94,59.41,8.07,12.53,0.35,1.4,0.0,0.0,0.18,0.17,0.0,0.0,8.73,2.03,0.0,0.0,0.0,4.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,84.74,0.0,2.0,2048.0
in.eam,50.19,1.38,37.94,36.29,48.6,0.04,64.37,0.0,0.0,74.12,18.99,0.02,0.0,1.33,0.18,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.02,0.0,4.0,2048.0
in.eam,52.45,3.81,44.83,40.8,47.23,0.08,78.01,0.0,0.0,88.43,0.58,0.02,0.0,2.03,0.16,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,5.19,0.0,8.0,2048.0
in.eam,54.96,10.64,48.69,39.19,43.35,0.18,91.33,0.0,0.0,76.29,1.76,0.05,0.0,6.37,0.34,0.0,0.0,0.0,2.18,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,12.96,0.0,16.0,2048.0
in.eam,67.64,23.35,56.96,35.16,40.55,0.82,132.61,0.0,0.0,59.13,0.82,0.05,0.0,6.9,1.04,0.0,0.0,0.0,1.17,0.02,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,30.77,0.0,32.0,2048.0
in.eam,82.75,43.05,71.06,27.83,31.28,1.8,267.41,0.0,0.0,40.23,0.38,0.03,0.0,3.72,0.57,0.0,0.0,0.0,1.16,0.02,0.0,0.0,0.0,0.0,0.51,0.0,0.02,0.0,0.0,53.35,0.0,64.0,2048.0
in.lj,7.98,7.98,7.98,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.2,0.01,0.02,0.01,0.0,0.2,0.0,0.0,0.01,0.0,2.89,0.0,0.03,0.0,0.03,96.45,0.0,1.0,32.0
in.lj,64.59,64.26,64.39,11.8,29.12,0.57,1.6,0.0,0.0,20.8,3.32,0.01,0.0,0.39,0.7,0.0,0.0,0.0,1.11,0.02,0.0,0.0,0.0,0.0,4.11,0.0,0.04,0.0,0.0,69.5,0.0,2.0,32.0
in.lj,84.66,55.38,72.18,18.24,29.0,2.45,2.13,0.0,0.0,27.59,0.59,0.02,0.0,0.45,1.96,0.0,0.0,0.0,2.33,0.04,0.0,0.0,0.0,0.0,1.05,0.0,0.01,0.0,0.01,65.96,0.0,4.0,32.0
in.lj,93.79,79.96,88.35,9.6,13.59,0.98,6.15,0.0,0.0,9.12,0.57,0.02,0.0,1.23,2.37,0.0,0.0,0.0,0.65,0.03,0.0,0.0,0.0,0.0,2.25,0.0,0.01,0.0,0.01,83.73,0.0,8.0,32.0
in.lj,97.74,95.61,96.15,5.07,6.78,0.44,20.39,0.0,0.0,5.23,0.22,0.01,0.0,0.1,1.41,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.0,0.01,92.72,0.0,16.0,32.0
in.lj,99.36,96.6,98.27,3.47,4.31,0.67,54.56,0.0,0.0,2.46,0.2,0.01,0.0,0.06,1.39,0.0,0.0,0.0,0.55,0.27,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.0,0.01,94.79,0.0,32.0,32.0
in.lj,99.73,97.66,99.16,1.74,2.47,0.04,152.21,0.0,0.0,1.02,0.09,0.01,0.0,0.62,0.72,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.0,0.01,97.14,0.0,64.0,32.0
in.lj,1.51,1.51,1.51,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.95,0.18,0.0,0.02,0.01,0.0,0.21,0.0,0.01,0.01,0.0,8.7,0.0,0.79,0.0,0.02,89.09,0.0,1.0,256.0
