Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Waitany,MPI_Scan,MPI_Allgather,MPI_Init,MPI_Sendrecv,MPI_Allreduce,MPI_Comm_size,MPI_Reduce_scatter,MPI_Cart_get,MPI_Send,MPI_Cart_shift,MPI_Finalize,MPI_Wait,MPI_Bcast,MPI_Irecv,MPI_Barrier,MPI_Comm_rank,MPI_Alltoall,MPI_Alltoallv,MPI_Cart_rank,MPI_Comm_dup,MPI_Reduce,MPI_Comm_free,MPI_Cart_create,Processes,Size
in.eam,62.39,26.42,52.57,34.95,42.73,3.8,14.46,0.0,0.01,0.0,23.9,1.74,3.02,0.0,0.0,0.0,1.24,0.0,0.2,68.78,1.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,8.0,256.0
in.eam,77.66,44.96,65.28,29.42,33.72,1.96,25.25,0.0,0.01,0.0,47.89,2.35,3.12,0.0,0.0,0.0,0.47,0.0,0.17,44.6,1.35,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,16.0,256.0
in.eam,90.76,71.25,81.65,18.89,21.17,0.98,59.53,0.0,0.01,0.0,72.55,0.96,3.0,0.0,0.0,0.0,0.3,0.0,0.23,20.4,1.38,0.02,0.44,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.04,32.0,256.0
in.eam,97.16,86.25,92.7,7.63,8.65,0.12,166.95,0.0,0.01,0.0,88.75,0.06,0.76,0.0,0.0,0.0,0.18,0.0,0.77,8.68,0.76,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,64.0,256.0
in.eam,0.19,0.19,0.19,0.0,0.0,0.0,0.07,0.0,0.02,0.0,88.91,0.0,1.22,0.0,0.0,0.01,0.0,0.01,8.56,0.0,0.96,0.0,0.06,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.2,1.0,864.0
in.eam,51.22,1.76,26.67,24.25,48.12,0.03,19.4,0.0,0.0,0.0,6.74,2.61,1.31,0.0,0.0,0.0,0.68,0.0,0.08,88.54,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,864.0
in.eam,51.25,3.37,39.07,34.98,47.18,0.21,28.36,0.0,0.0,0.0,6.45,2.66,1.97,0.0,0.0,0.0,17.0,0.0,0.24,71.25,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,864.0
in.eam,53.76,8.81,46.34,36.85,43.42,0.2,35.53,0.0,0.0,0.0,14.57,2.16,3.76,0.0,0.0,0.0,0.69,0.0,0.07,78.09,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.01,8.0,864.0
in.eam,60.78,22.7,53.57,36.11,41.54,1.75,48.01,0.0,0.0,0.0,24.41,1.72,6.95,0.0,0.0,0.0,0.96,0.0,0.07,65.26,0.57,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,16.0,864.0
in.eam,77.77,43.71,64.49,29.87,36.35,2.38,81.82,0.0,0.01,0.0,45.97,0.45,6.84,0.0,0.0,0.0,0.48,0.0,0.68,44.19,0.89,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.01,32.0,864.0
in.eam,90.8,67.11,81.82,18.96,20.97,0.98,206.02,0.0,0.01,0.0,71.93,0.37,3.47,0.0,0.0,0.0,0.25,0.0,0.23,22.67,0.56,0.02,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,64.0,864.0
in.eam,4.28,4.28,4.28,0.0,0.0,0.0,0.05,0.0,0.03,0.0,99.23,0.0,0.09,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.22,0.0,0.06,0.01,0.0,0.0,0.01,0.0,0.0,0.04,0.3,1.0,2048.0
in.eam,74.68,32.94,59.41,8.07,12.53,0.35,1.4,0.0,0.0,0.0,84.74,4.07,8.73,0.0,0.0,0.0,0.17,0.0,0.0,0.18,2.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.0,2048.0
in.eam,50.19,1.38,37.94,36.29,48.6,0.04,64.37,0.0,0.0,0.0,2.02,3.31,1.33,0.0,0.0,0.0,18.99,0.0,0.03,74.12,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2048.0
in.eam,52.45,3.81,44.83,40.8,47.23,0.08,78.01,0.0,0.0,0.0,5.19,3.55,2.03,0.0,0.0,0.0,0.58,0.0,0.03,88.43,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2048.0
in.eam,54.96,10.64,48.69,39.19,43.35,0.18,91.33,0.0,0.0,0.0,12.96,2.18,6.37,0.0,0.0,0.0,1.76,0.0,0.04,76.29,0.34,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,16.0,2048.0
in.eam,67.64,23.35,56.96,35.16,40.55,0.82,132.61,0.0,0.0,0.0,30.77,1.17,6.9,0.0,0.0,0.0,0.82,0.0,0.09,59.13,1.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,32.0,2048.0
in.eam,82.75,43.05,71.06,27.83,31.28,1.8,267.41,0.0,0.0,0.0,53.35,1.16,3.72,0.0,0.0,0.0,0.38,0.0,0.51,40.23,0.57,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,64.0,2048.0
in.lj,7.98,7.98,7.98,0.0,0.0,0.0,0.06,0.0,0.03,0.0,96.45,0.0,0.13,0.0,0.0,0.01,0.0,0.01,2.89,0.0,0.2,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.2,1.0,32.0
in.lj,64.59,64.26,64.39,11.8,29.12,0.57,1.6,0.0,0.0,0.0,69.5,1.11,0.39,0.0,0.0,0.0,3.32,0.0,4.11,20.8,0.7,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0,32.0
