Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%CPU,%total
in.chain.timer,2048,16,Pair,1.0062,1.0261,1.0661,1.7,99.7,24.70
in.chain.timer,2048,16,Bond,0.20415,0.20946,0.22079,1.0,99.6,5.04
in.chain.timer,2048,16,Neigh,0.90915,0.91009,0.91103,0.1,99.6,21.91
in.chain.timer,2048,16,Comm,0.94571,0.98304,1.0248,2.8,95.4,23.67
in.chain.timer,2048,16,Output,0.00044682,0.00054775,0.00079842,0.0,100.0,0.01
in.chain.timer,2048,16,Modify,0.80316,0.82236,0.86073,1.8,98.8,19.80
in.chain.timer,2048,16,Other,,0.2019,,,,4.86
in.chain.timer,2048,32,Pair,0.58421,0.59599,0.61343,0.9,99.5,25.44
in.chain.timer,2048,32,Bond,0.11623,0.12088,0.13035,0.9,99.5,5.16
in.chain.timer,2048,32,Neigh,0.49189,0.49374,0.49509,0.1,99.6,21.08
in.chain.timer,2048,32,Comm,0.51803,0.54122,0.56541,1.8,95.6,23.10
in.chain.timer,2048,32,Output,0.0002951,0.0015267,0.0028946,1.9,100.0,0.07
in.chain.timer,2048,32,Modify,0.45851,0.47049,0.49265,1.2,97.7,20.09
in.chain.timer,2048,32,Other,,0.1186,,,,5.06
in.chain.timer,2048,64,Pair,0.31526,0.3175,0.328,0.4,98.8,24.55
in.chain.timer,2048,64,Bond,0.058296,0.060061,0.067521,0.7,99.7,4.64
in.chain.timer,2048,64,Neigh,0.27477,0.27644,0.27753,0.1,99.5,21.37
in.chain.timer,2048,64,Comm,0.29515,0.30776,0.32078,1.3,96.7,23.79
in.chain.timer,2048,64,Output,0.00015711,0.00017751,0.00023525,0.0,100.0,0.01
in.chain.timer,2048,64,Modify,0.24374,0.24943,0.25661,0.6,98.6,19.28
in.chain.timer,2048,64,Other,,0.08207,,,,6.34
in.chute.timer,32,1,Pair,0.16982,0.16982,0.16982,0.0,98.8,50.72
in.chute.timer,32,1,Neigh,0.034114,0.034114,0.034114,0.0,99.2,10.19
in.chute.timer,32,1,Comm,0.016663,0.016663,0.016663,0.0,98.5,4.98
in.chute.timer,32,1,Output,0.00019013,0.00019013,0.00019013,0.0,100.0,0.06
in.chute.timer,32,1,Modify,0.089975,0.089975,0.089975,0.0,98.7,26.87
in.chute.timer,32,1,Other,,0.02405,,,,7.18
in.chute.timer,32,2,Pair,0.09021,0.092197,0.094185,0.7,95.6,47.54
in.chute.timer,32,2,Neigh,0.021235,0.021456,0.021677,0.2,97.7,11.06
in.chute.timer,32,2,Comm,0.016686,0.016731,0.016775,0.0,95.4,8.63
in.chute.timer,32,2,Output,9.507e-05,0.00011239,0.00012971,0.0,100.0,0.06
in.chute.timer,32,2,Modify,0.04553,0.04675,0.047971,0.6,96.7,24.11
in.chute.timer,32,2,Other,,0.0167,,,,8.61
in.chute.timer,32,4,Pair,0.039997,0.043244,0.046416,1.5,98.3,45.65
in.chute.timer,32,4,Neigh,0.010665,0.010743,0.010846,0.1,99.3,11.34
in.chute.timer,32,4,Comm,0.010708,0.011476,0.012218,0.5,96.4,12.12
in.chute.timer,32,4,Output,5.9168e-05,8.2759e-05,0.00010888,0.0,100.0,0.09
in.chute.timer,32,4,Modify,0.018161,0.018817,0.019386,0.4,97.7,19.87
in.chute.timer,32,4,Other,,0.01036,,,,10.93
in.chute.timer,32,8,Pair,0.020561,0.022733,0.025038,1.3,96.8,43.34
in.chute.timer,32,8,Neigh,0.0054544,0.0055248,0.0055992,0.1,100.0,10.53
in.chute.timer,32,8,Comm,0.0094129,0.0098422,0.010407,0.3,95.5,18.76
in.chute.timer,32,8,Output,4.2546e-05,7.5628e-05,0.00010429,0.0,99.5,0.14
in.chute.timer,32,8,Modify,0.0084646,0.0085979,0.0088359,0.1,97.3,16.39
in.chute.timer,32,8,Other,,0.005686,,,,10.84
in.chute.timer,32,16,Pair,0.0085346,0.0096099,0.010747,0.9,98.0,36.66
in.chute.timer,32,16,Neigh,0.0027754,0.0028224,0.0029701,0.1,99.6,10.77
in.chute.timer,32,16,Comm,0.0060435,0.0063419,0.0067302,0.3,97.8,24.19
in.chute.timer,32,16,Output,3.865e-05,5.6352e-05,6.9473e-05,0.0,99.7,0.21
in.chute.timer,32,16,Modify,0.0041023,0.0041513,0.0041892,0.0,97.9,15.84
in.chute.timer,32,16,Other,,0.003234,,,,12.33
in.chute.timer,32,32,Pair,0.0031184,0.0044441,0.0054105,1.3,85.0,24.65
in.chute.timer,32,32,Neigh,0.0013541,0.0014271,0.001516,0.1,85.4,7.92
in.chute.timer,32,32,Comm,0.0057927,0.0065145,0.0069919,0.4,82.3,36.13
in.chute.timer,32,32,Output,3.5689e-05,5.2795e-05,7.2796e-05,0.0,94.4,0.29
in.chute.timer,32,32,Modify,0.0020308,0.002146,0.0022497,0.2,84.4,11.90
in.chute.timer,32,32,Other,,0.003445,,,,19.11
in.chute.timer,32,64,Pair,0.0015262,0.0021679,0.0026808,0.8,79.7,12.34
in.chute.timer,32,64,Neigh,0.00068692,0.00072533,0.00077679,0.0,64.5,4.13
in.chute.timer,32,64,Comm,0.0072367,0.0090317,0.010445,0.9,75.5,51.40
in.chute.timer,32,64,Output,3.0924e-05,6.4758e-05,0.00013656,0.0,99.7,0.37
in.chute.timer,32,64,Modify,0.0010828,0.0011467,0.0012568,0.1,79.1,6.53
in.chute.timer,32,64,Other,,0.004436,,,,25.24
in.chute.timer,256,1,Pair,0.1719,0.1719,0.1719,0.0,99.0,49.95
in.chute.timer,256,1,Neigh,0.034361,0.034361,0.034361,0.0,99.2,9.99
in.chute.timer,256,1,Comm,0.017177,0.017177,0.017177,0.0,99.7,4.99
in.chute.timer,256,1,Output,0.00020661,0.00020661,0.00020661,0.0,100.0,0.06
in.chute.timer,256,1,Modify,0.095054,0.095054,0.095054,0.0,99.1,27.62
in.chute.timer,256,1,Other,,0.02542,,,,7.39
in.chute.timer,256,2,Pair,0.089557,0.091412,0.093268,0.6,95.2,47.21
in.chute.timer,256,2,Neigh,0.021212,0.021459,0.021705,0.2,97.7,11.08
in.chute.timer,256,2,Comm,0.01658,0.016675,0.01677,0.1,95.7,8.61
in.chute.timer,256,2,Output,9.2668e-05,0.00025025,0.00040783,0.0,99.9,0.13
in.chute.timer,256,2,Modify,0.044985,0.046821,0.048656,0.8,95.1,24.18
in.chute.timer,256,2,Other,,0.01702,,,,8.79
in.chute.timer,256,4,Pair,0.040214,0.043516,0.046897,1.6,96.7,44.63
in.chute.timer,256,4,Neigh,0.010731,0.010804,0.010978,0.1,98.8,11.08
in.chute.timer,256,4,Comm,0.010727,0.011477,0.01224,0.7,96.4,11.77
in.chute.timer,256,4,Output,6.0178e-05,8.4958e-05,0.00011031,0.0,99.7,0.09
in.chute.timer,256,4,Modify,0.018171,0.01941,0.021283,0.9,94.5,19.91
in.chute.timer,256,4,Other,,0.01222,,,,12.53
in.chute.timer,256,8,Pair,0.020562,0.022812,0.024975,1.2,93.2,43.34
in.chute.timer,256,8,Neigh,0.0054473,0.0055354,0.0056413,0.1,87.1,10.52
in.chute.timer,256,8,Comm,0.0093455,0.0098606,0.01031,0.3,91.4,18.74
in.chute.timer,256,8,Output,4.2677e-05,6.7172e-05,8.5288e-05,0.0,99.5,0.13
in.chute.timer,256,8,Modify,0.0083937,0.0086231,0.0088914,0.2,93.2,16.38
in.chute.timer,256,8,Other,,0.005732,,,,10.89
in.chute.timer,256,16,Pair,0.00861,0.0096118,0.010703,0.9,89.8,36.42
in.chute.timer,256,16,Neigh,0.0027841,0.0028118,0.0028579,0.0,100.0,10.65
in.chute.timer,256,16,Comm,0.0061029,0.0065493,0.0071546,0.4,88.2,24.82
in.chute.timer,256,16,Output,3.7315e-05,5.078e-05,6.4672e-05,0.0,99.4,0.19
in.chute.timer,256,16,Modify,0.0041062,0.0041617,0.004219,0.0,90.3,15.77
in.chute.timer,256,16,Other,,0.003206,,,,12.15
in.chute.timer,256,32,Pair,0.0031037,0.0044474,0.0053936,1.2,86.7,24.83
in.chute.timer,256,32,Neigh,0.0013458,0.0014204,0.0015421,0.2,80.2,7.93
in.chute.timer,256,32,Comm,0.0057313,0.0064468,0.0068741,0.4,85.8,35.99
in.chute.timer,256,32,Output,3.6828e-05,5.5998e-05,7.519e-05,0.0,99.7,0.31
in.chute.timer,256,32,Modify,0.0020495,0.0021646,0.0022796,0.2,86.0,12.08
in.chute.timer,256,32,Other,,0.003376,,,,18.85
in.chute.timer,256,64,Pair,0.0015227,0.0022029,0.0027277,0.8,65.4,12.17
in.chute.timer,256,64,Neigh,0.00068412,0.000725,0.00078117,0.0,46.9,4.01
in.chute.timer,256,64,Comm,0.0071422,0.0092466,0.01056,0.9,61.8,51.08
in.chute.timer,256,64,Output,3.4516e-05,6.4314e-05,0.0001269,0.0,62.3,0.36
in.chute.timer,256,64,Modify,0.0010757,0.0011535,0.0012622,0.1,64.6,6.37
in.chute.timer,256,64,Other,,0.004709,,,,26.02
in.chute.timer,864,1,Pair,0.17234,0.17234,0.17234,0.0,97.7,49.70
in.chute.timer,864,1,Neigh,0.034266,0.034266,0.034266,0.0,96.8,9.88
in.chute.timer,864,1,Comm,0.017922,0.017922,0.017922,0.0,91.2,5.17
in.chute.timer,864,1,Output,0.00022451,0.00022451,0.00022451,0.0,100.0,0.06
in.chute.timer,864,1,Modify,0.096405,0.096405,0.096405,0.0,95.6,27.80
in.chute.timer,864,1,Other,,0.0256,,,,7.38
