Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Comm_free,MPI_Allreduce,MPI_Comm_dup,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Wait,MPI_Init,MPI_Bcast,MPI_Cart_create,MPI_Alltoall,MPI_Cart_rank,MPI_Finalize,MPI_Reduce,MPI_Comm_rank,MPI_Waitany,MPI_Alltoallv,MPI_Cart_get,MPI_Comm_size,MPI_Irecv,MPI_Send,Processes,Size
in.chute,97.33,87.84,93.1,7.64,9.3,0.83,157.29,0.0,5.07,0.0,0.53,0.0,0.23,0.01,0.0,0.0,0.52,90.39,2.74,0.04,0.0,0.0,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.12,64.0,2048.0
in.eam,3.64,3.64,3.64,0.0,0.0,0.0,0.06,0.03,0.2,0.0,0.0,0.02,0.0,0.03,0.01,0.0,0.0,96.36,0.19,0.24,0.0,0.01,2.88,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,32.0
in.eam,67.88,29.12,51.52,17.07,27.94,2.19,2.24,0.0,1.02,0.0,0.0,0.0,2.05,0.03,0.0,0.0,37.89,54.46,0.64,0.02,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.19,2.0,32.0
in.eam,66.04,61.68,63.79,22.57,35.01,0.59,3.35,0.0,0.44,0.0,0.0,0.03,0.17,0.01,0.0,0.0,40.24,56.27,2.06,0.03,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.51,4.0,32.0
in.eam,82.02,78.52,80.06,18.65,24.58,0.19,7.14,0.0,0.12,0.0,0.0,0.0,0.11,0.01,0.0,0.0,23.21,71.67,4.26,0.02,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.36,8.0,32.0
in.eam,92.06,85.43,87.69,13.41,17.5,0.32,13.09,0.0,0.78,0.0,0.0,0.01,0.1,0.01,0.0,0.0,16.23,79.9,2.03,0.1,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.36,16.0,32.0
in.eam,98.26,94.32,96.06,4.55,5.43,0.37,48.06,0.0,0.63,0.0,0.0,0.01,0.04,0.01,0.0,0.0,4.6,92.03,1.27,0.04,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.17,32.0,32.0
in.eam,99.47,96.4,98.57,3.02,3.98,0.3,155.12,0.0,1.03,0.0,0.0,0.01,0.04,0.01,0.0,0.0,2.03,95.46,0.77,0.18,0.0,0.0,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.12,64.0,32.0
in.eam,0.57,0.57,0.57,0.0,0.0,0.0,0.06,0.02,1.41,0.0,0.0,0.02,0.0,0.9,0.01,0.0,0.0,87.44,0.2,0.23,0.0,0.01,9.71,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,256.0
in.eam,49.24,10.43,29.31,21.69,44.29,0.28,6.41,0.0,2.12,0.0,0.0,0.0,1.28,0.01,0.0,0.0,73.99,20.48,0.28,0.01,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.55,2.0,256.0
in.eam,54.48,11.11,42.1,30.89,42.28,0.98,9.7,0.0,0.93,0.0,0.0,0.0,1.35,0.03,0.0,0.0,76.49,18.7,0.53,0.01,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.02,1.88,4.0,256.0
in.eam,62.39,26.42,52.57,34.95,42.73,3.8,14.46,0.0,3.02,0.0,0.0,0.01,1.74,0.01,0.0,0.0,68.78,23.9,1.05,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.24,8.0,256.0
in.eam,77.66,44.96,65.28,29.42,33.72,1.96,25.25,0.0,3.12,0.0,0.0,0.01,2.35,0.01,0.0,0.0,44.6,47.89,1.35,0.01,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.47,16.0,256.0
in.eam,90.76,71.25,81.65,18.89,21.17,0.98,59.53,0.0,3.0,0.0,0.0,0.01,0.96,0.44,0.0,0.0,20.4,72.55,1.38,0.04,0.0,0.0,0.23,0.67,0.0,0.0,0.0,0.0,0.0,0.02,0.3,32.0,256.0
in.eam,97.16,86.25,92.7,7.63,8.65,0.12,166.95,0.0,0.76,0.0,0.0,0.01,0.06,0.01,0.0,0.0,8.68,88.75,0.76,0.03,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,64.0,256.0
in.eam,0.19,0.19,0.19,0.0,0.0,0.0,0.07,0.02,1.22,0.0,0.0,0.02,0.0,0.06,0.01,0.0,0.0,88.91,0.96,0.2,0.0,0.01,8.56,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,864.0
in.eam,51.22,1.76,26.67,24.25,48.12,0.03,19.4,0.0,1.31,0.0,0.0,0.0,2.61,0.01,0.0,0.0,88.54,6.74,0.03,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.68,2.0,864.0
in.eam,51.25,3.37,39.07,34.98,47.18,0.21,28.36,0.0,1.97,0.0,0.0,0.0,2.66,0.0,0.0,0.0,71.25,6.45,0.4,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.02,17.0,4.0,864.0
in.eam,53.76,8.81,46.34,36.85,43.42,0.2,35.53,0.0,3.76,0.0,0.0,0.0,2.16,0.0,0.0,0.0,78.09,14.57,0.35,0.01,0.0,0.0,0.07,0.27,0.0,0.0,0.0,0.0,0.0,0.03,0.69,8.0,864.0
in.eam,60.78,22.7,53.57,36.11,41.54,1.75,48.01,0.0,6.95,0.0,0.0,0.0,1.72,0.0,0.0,0.0,65.26,24.41,0.57,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.96,16.0,864.0
in.eam,77.77,43.71,64.49,29.87,36.35,2.38,81.82,0.0,6.84,0.0,0.0,0.01,0.45,0.01,0.0,0.0,44.19,45.97,0.89,0.01,0.0,0.0,0.68,0.44,0.0,0.0,0.0,0.0,0.0,0.04,0.48,32.0,864.0
in.eam,90.8,67.11,81.82,18.96,20.97,0.98,206.02,0.0,3.47,0.0,0.0,0.01,0.37,0.48,0.0,0.0,22.67,71.93,0.56,0.02,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.25,64.0,864.0
in.eam,4.28,4.28,4.28,0.0,0.0,0.0,0.05,0.04,0.09,0.0,0.0,0.03,0.0,0.06,0.01,0.0,0.0,99.23,0.22,0.3,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,1.0,2048.0
in.eam,74.68,32.94,59.41,8.07,12.53,0.35,1.4,0.0,8.73,0.0,0.0,0.0,4.07,0.04,0.0,0.0,0.18,84.74,2.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.0,2048.0
in.eam,50.19,1.38,37.94,36.29,48.6,0.04,64.37,0.0,1.33,0.0,0.0,0.0,3.31,0.0,0.0,0.0,74.12,2.02,0.18,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,18.99,4.0,2048.0
in.eam,52.45,3.81,44.83,40.8,47.23,0.08,78.01,0.0,2.03,0.0,0.0,0.0,3.55,0.0,0.0,0.0,88.43,5.19,0.16,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.58,8.0,2048.0
in.eam,54.96,10.64,48.69,39.19,43.35,0.18,91.33,0.0,6.37,0.0,0.0,0.0,2.18,0.0,0.0,0.0,76.29,12.96,0.34,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.76,16.0,2048.0
in.eam,67.64,23.35,56.96,35.16,40.55,0.82,132.61,0.0,6.9,0.0,0.0,0.0,1.17,0.0,0.0,0.0,59.13,30.77,1.04,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.82,32.0,2048.0
in.eam,82.75,43.05,71.06,27.83,31.28,1.8,267.41,0.0,3.72,0.0,0.0,0.0,1.16,0.02,0.0,0.0,40.23,53.35,0.57,0.02,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.38,64.0,2048.0
in.lj,7.98,7.98,7.98,0.0,0.0,0.0,0.06,0.02,0.13,0.0,0.0,0.03,0.0,0.03,0.01,0.0,0.0,96.45,0.2,0.2,0.0,0.01,2.89,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,32.0
in.lj,64.59,64.26,64.39,11.8,29.12,0.57,1.6,0.0,0.39,0.0,0.0,0.0,1.11,0.04,0.0,0.0,20.8,69.5,0.7,0.02,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.32,2.0,32.0
in.lj,84.66,55.38,72.18,18.24,29.0,2.45,2.13,0.0,0.45,0.0,0.0,0.01,2.33,0.01,0.0,0.0,27.59,65.96,1.96,0.04,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.59,4.0,32.0
in.lj,93.79,79.96,88.35,9.6,13.59,0.98,6.15,0.0,1.23,0.0,0.0,0.01,0.65,0.01,0.0,0.0,9.12,83.73,2.37,0.03,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.57,8.0,32.0
in.lj,97.74,95.61,96.15,5.07,6.78,0.44,20.39,0.0,0.1,0.0,0.0,0.01,0.03,0.01,0.0,0.0,5.23,92.72,1.41,0.05,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.22,16.0,32.0
in.lj,99.36,96.6,98.27,3.47,4.31,0.67,54.56,0.0,0.06,0.0,0.0,0.01,0.55,0.01,0.0,0.0,2.46,94.79,1.39,0.27,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,32.0,32.0
in.lj,99.73,97.66,99.16,1.74,2.47,0.04,152.21,0.0,0.62,0.0,0.0,0.01,0.03,0.01,0.0,0.0,1.02,97.14,0.72,0.04,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,64.0,32.0
in.lj,1.51,1.51,1.51,0.0,0.0,0.0,0.07,0.02,0.95,0.0,0.0,0.02,0.0,0.79,0.01,0.0,0.0,89.09,0.18,0.21,0.0,0.0,8.7,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,1.0,256.0
