Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_dup,MPI_Init,MPI_Comm_size,MPI_Comm_rank,MPI_Sendrecv,MPI_Irecv,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.rhodo-e-6,6.74,6.17,6.47,2.74,4.23,1.81,16.7,2.33,75.1,2.4,0.0,0.0,0.0,0.03,6.06,0.02,9.97,0.0,0.0,2.66,0.06,1.15,0.0,0.0,0.04,0.07,0.01,0.1,4.0,864.0
in.rhodo-e-6,10.51,9.29,10.01,2.22,2.58,1.87,27.49,4.28,55.64,2.99,0.0,0.0,0.01,0.04,9.44,0.04,20.48,0.0,0.0,2.42,0.07,4.26,0.0,0.0,0.05,0.11,0.03,0.14,8.0,864.0
in.rhodo-e-6,20.25,13.79,16.1,4.17,6.84,2.85,49.71,6.83,36.91,3.02,0.0,0.0,0.01,0.07,18.92,0.06,25.88,0.0,0.0,1.44,0.08,6.35,0.0,0.0,0.08,0.07,0.08,0.19,16.0,864.0
in.rhodo-e-6,38.59,23.59,26.56,3.62,5.79,1.79,100.26,7.31,15.14,3.15,0.0,0.0,0.01,0.12,10.78,0.05,57.25,0.0,0.0,0.92,0.08,4.71,0.0,0.0,0.07,0.09,0.04,0.28,32.0,864.0
in.rhodo-e-6,62.45,37.18,41.79,4.7,7.65,1.19,227.21,6.34,6.67,1.44,0.0,0.0,0.01,0.21,9.61,0.04,66.92,0.0,0.0,0.46,0.09,7.16,0.0,0.0,0.04,0.17,0.05,0.79,64.0,864.0
in.rhodo-e-6,8.1,7.29,7.52,4.97,5.52,4.61,49.04,1.89,91.72,0.55,0.0,0.0,0.0,0.01,1.63,0.01,2.62,0.0,0.0,0.57,0.03,0.63,0.0,0.0,0.04,0.17,0.1,0.04,4.0,2048.0
in.rhodo-e-6,10.89,9.51,10.17,4.94,5.79,4.55,68.78,1.89,79.38,0.95,0.0,0.0,0.0,0.02,4.06,0.01,8.54,0.0,0.0,0.53,0.03,4.35,0.0,0.0,0.03,0.08,0.03,0.11,8.0,2048.0
in.rhodo-e-6,14.23,11.57,12.24,3.81,5.85,3.01,86.58,4.26,68.05,1.56,0.0,0.0,0.0,0.04,7.35,0.02,12.57,0.0,0.0,0.3,0.06,5.55,0.0,0.0,0.04,0.06,0.04,0.1,16.0,2048.0
in.rhodo-e-6,26.88,18.05,20.42,2.84,6.19,1.01,168.76,4.77,36.39,1.64,0.0,0.0,0.01,0.07,7.09,0.03,41.33,0.0,0.0,0.24,0.07,8.07,0.0,0.0,0.04,0.07,0.04,0.16,32.0,2048.0
in.rhodo-e-6,41.58,24.13,27.61,3.3,5.94,1.16,296.63,6.79,22.08,1.14,0.0,0.0,0.01,0.16,9.92,0.03,51.19,0.0,0.0,0.22,0.09,7.47,0.0,0.0,0.03,0.17,0.08,0.63,64.0,2048.0
in.rhodo-e-7,12.66,9.69,11.02,1.04,2.28,0.34,10.45,5.92,46.73,1.72,0.0,0.0,0.01,0.05,17.07,0.06,17.73,0.0,0.0,0.54,0.21,9.85,0.0,0.0,0.04,0.03,0.01,0.02,4.0,32.0
in.rhodo-e-7,21.59,13.78,17.31,2.18,3.56,1.06,18.33,10.25,20.57,2.68,0.0,0.0,0.01,0.07,18.23,0.06,32.9,0.0,0.0,0.46,0.26,14.35,0.0,0.0,0.06,0.02,0.01,0.09,8.0,32.0
in.rhodo-e-7,40.67,26.84,30.92,2.92,6.48,0.95,42.3,7.76,7.09,2.58,0.0,0.0,0.01,0.08,13.93,0.05,57.46,0.0,0.0,0.25,0.2,10.4,0.0,0.0,0.07,0.02,0.01,0.08,16.0,32.0
in.rhodo-e-7,57.55,39.05,44.06,4.87,10.45,1.83,88.0,11.24,5.21,3.44,0.0,0.0,0.02,0.14,14.12,0.07,56.96,0.0,0.0,0.21,0.24,8.07,0.0,0.0,0.08,0.03,0.01,0.16,32.0,32.0
in.rhodo-e-7,80.42,54.61,63.01,5.2,8.62,2.01,231.82,8.52,4.21,1.57,0.0,0.0,0.02,0.21,10.89,0.04,66.13,0.0,0.0,0.17,0.24,7.24,0.0,0.0,0.02,0.14,0.02,0.6,64.0,32.0
in.rhodo-e-7,14.52,10.75,12.39,4.87,7.09,3.34,16.57,2.5,79.68,1.62,0.0,0.0,0.01,0.03,4.31,0.04,10.08,0.0,0.0,0.19,0.05,1.29,0.0,0.0,0.03,0.05,0.05,0.06,4.0,256.0
in.rhodo-e-7,21.15,14.66,17.92,4.14,5.44,1.79,26.09,3.78,59.06,1.98,0.0,0.0,0.01,0.05,7.93,0.03,19.37,0.0,0.0,0.23,0.07,7.33,0.0,0.0,0.04,0.04,0.03,0.06,8.0,256.0
in.rhodo-e-7,35.12,23.3,27.67,3.66,6.78,1.68,50.23,5.16,32.9,2.81,0.0,0.0,0.01,0.07,9.56,0.06,42.16,0.0,0.0,0.24,0.07,6.67,0.0,0.0,0.07,0.05,0.02,0.14,16.0,256.0
in.rhodo-e-7,53.82,35.62,40.06,3.78,8.56,1.36,96.6,5.54,14.35,3.15,0.0,0.0,0.01,0.13,7.81,0.06,63.63,0.0,0.0,0.2,0.08,4.64,0.0,0.0,0.08,0.05,0.02,0.25,32.0,256.0
in.rhodo-e-7,73.33,49.56,56.7,5.35,9.97,1.17,214.14,6.21,5.37,1.57,0.0,0.0,0.02,0.23,7.59,0.04,70.94,0.0,0.0,0.13,0.08,6.94,0.0,0.0,0.03,0.19,0.02,0.64,64.0,256.0
in.rhodo-e-7,12.83,12.33,12.56,8.29,8.54,7.99,55.71,1.35,91.38,0.74,0.0,0.0,0.0,0.01,1.59,0.01,3.27,0.0,0.0,0.81,0.02,0.75,0.0,0.0,0.01,0.03,0.01,0.02,4.0,864.0
in.rhodo-e-7,17.91,15.43,16.57,9.25,10.07,8.2,79.73,2.58,83.71,1.03,0.0,0.0,0.0,0.02,2.7,0.02,4.57,0.0,0.0,0.86,0.03,4.37,0.0,0.0,0.02,0.04,0.01,0.05,8.0,864.0
in.rhodo-e-7,22.45,19.43,20.84,8.37,11.03,7.0,111.33,2.94,72.94,1.21,0.0,0.0,0.01,0.03,5.53,0.02,10.59,0.0,0.0,0.64,0.05,5.86,0.0,0.0,0.02,0.04,0.04,0.08,16.0,864.0
in.rhodo-e-7,33.87,25.35,27.8,4.86,8.92,2.89,171.09,4.37,44.12,1.91,0.0,0.0,0.01,0.07,7.71,0.03,31.03,0.0,0.0,0.55,0.07,9.86,0.0,0.0,0.04,0.05,0.03,0.16,32.0,864.0
in.rhodo-e-7,52.27,34.38,37.6,4.19,8.81,1.76,323.3,5.66,27.75,1.47,0.0,0.0,0.01,0.14,8.46,0.03,47.04,0.0,0.0,0.35,0.09,8.23,0.0,0.0,0.03,0.15,0.04,0.55,64.0,864.0
in.rhodo-e-7,12.67,12.05,12.32,8.98,9.41,8.51,133.2,1.47,94.59,0.2,0.0,0.0,0.0,0.0,1.58,0.0,1.04,0.0,0.0,0.23,0.01,0.74,0.0,0.0,0.01,0.06,0.04,0.01,4.0,2048.0
in.rhodo-e-7,16.0,14.88,15.44,9.83,10.37,9.17,176.45,1.66,86.88,0.34,0.0,0.0,0.0,0.01,0.53,0.01,3.5,0.0,0.0,0.17,0.02,6.79,0.0,0.0,0.01,0.03,0.02,0.04,8.0,2048.0
in.rhodo-e-7,21.84,18.15,19.95,11.6,13.16,9.88,250.55,2.94,82.73,0.59,0.0,0.0,0.0,0.01,1.91,0.01,5.78,0.0,0.0,0.13,0.02,5.75,0.0,0.0,0.02,0.03,0.02,0.06,16.0,2048.0
in.rhodo-e-7,29.43,23.11,26.32,10.91,12.68,8.16,397.92,4.19,65.43,0.86,0.0,0.0,0.0,0.03,5.66,0.02,15.08,0.0,0.0,0.1,0.04,8.43,0.0,0.0,0.02,0.03,0.02,0.09,32.0,2048.0
in.rhodo-e-7,40.84,27.19,32.45,10.03,13.46,5.8,671.02,6.55,50.42,0.53,0.0,0.0,0.01,0.07,8.19,0.01,22.66,0.0,0.0,0.1,0.11,10.95,0.0,0.0,0.01,0.08,0.02,0.3,64.0,2048.0
