Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Alltoall,MPI_Waitany,MPI_Bcast,MPI_Cart_create,MPI_Comm_size,MPI_Finalize,MPI_Comm_rank,MPI_Comm_dup,MPI_Barrier,MPI_Reduce,MPI_Wait,MPI_Sendrecv,MPI_Init,MPI_Alltoallv,MPI_Cart_get,MPI_Irecv,MPI_Allreduce,MPI_Allgather,MPI_Comm_free,MPI_Cart_rank,MPI_Send,Processes,Size
in.rhodo-e-5,6.89,4.63,5.4,1.41,1.77,0.83,27.51,0.21,4.6,1.78,0.04,0.0,0.05,0.0,0.03,0.1,0.0,18.14,1.25,23.2,0.22,0.0,0.08,4.63,0.01,0.0,0.0,45.67,8.0,2048.0
in.rhodo-e-5,9.62,5.95,6.89,1.15,3.44,0.51,36.61,0.13,6.8,4.33,0.1,0.0,0.09,0.0,0.05,0.08,0.0,14.01,0.63,33.98,0.22,0.0,0.1,5.38,0.01,0.0,0.0,34.08,16.0,2048.0
in.rhodo-e-5,23.83,13.75,15.13,2.25,4.12,1.11,93.51,0.11,6.03,3.37,0.04,0.0,0.13,0.0,0.05,0.06,0.0,13.88,0.38,57.52,0.35,0.0,0.09,5.77,0.01,0.0,0.0,12.21,32.0,2048.0
in.rhodo-e-5,45.53,23.78,27.23,3.9,5.64,1.57,228.52,0.22,5.47,1.58,0.04,0.0,0.21,0.0,0.04,0.1,0.0,11.59,0.34,66.05,0.8,0.0,0.09,7.87,0.01,0.0,0.0,5.58,64.0,2048.0
in.rhodo-e-6,6.2,3.67,4.95,0.32,0.42,0.23,2.66,0.01,10.23,2.01,0.09,0.0,0.07,0.0,0.09,0.04,0.0,18.84,0.87,52.42,0.03,0.0,0.21,5.1,0.0,0.0,0.0,9.98,2.0,32.0
in.rhodo-e-6,10.92,5.93,8.29,1.65,2.8,0.52,4.68,0.03,12.75,4.53,0.08,0.0,0.12,0.0,0.06,0.02,0.0,31.86,1.02,28.68,0.07,0.0,0.29,6.96,0.01,0.0,0.0,13.51,4.0,32.0
in.rhodo-e-6,21.55,13.62,16.52,2.41,3.7,1.45,11.0,0.06,11.06,4.55,0.08,0.0,0.12,0.0,0.08,0.02,0.0,27.51,0.75,37.04,0.09,0.0,0.31,7.87,0.02,0.0,0.0,10.44,8.0,32.0
in.rhodo-e-6,41.32,24.74,30.87,3.28,6.59,1.01,28.17,0.04,7.88,3.98,0.11,0.0,0.12,0.0,0.1,0.01,0.0,19.76,0.43,53.24,0.15,0.0,0.27,7.47,0.02,0.0,0.0,6.41,16.0,32.0
in.rhodo-e-6,62.85,40.61,46.97,3.1,8.74,1.49,66.63,0.04,5.33,4.7,0.05,0.0,0.19,0.0,0.07,0.01,0.0,15.68,0.24,64.06,0.2,0.0,0.28,5.06,0.02,0.0,0.0,4.06,32.0,32.0
in.rhodo-e-6,84.61,63.96,68.76,1.99,4.39,0.62,187.6,0.19,2.87,1.76,0.03,0.0,0.26,0.0,0.05,0.03,0.0,6.39,0.19,81.87,0.69,0.0,0.2,3.17,0.01,0.0,0.0,2.31,64.0,32.0
in.rhodo-e-6,4.01,2.4,3.21,0.3,0.43,0.17,2.37,0.07,13.27,1.99,0.06,0.0,0.08,0.0,0.13,0.06,0.0,13.26,0.41,54.96,0.11,0.0,0.08,2.71,0.0,0.0,0.0,12.8,2.0,256.0
in.rhodo-e-6,10.64,7.12,8.53,1.75,2.96,1.01,6.83,0.11,1.27,4.17,0.08,0.0,0.08,0.0,0.07,0.03,0.0,10.7,0.57,22.92,0.11,0.0,0.09,3.73,0.01,0.0,0.0,56.07,4.0,256.0
in.rhodo-e-6,20.85,12.91,14.77,1.29,2.13,0.97,12.97,0.09,5.9,3.91,0.07,0.0,0.09,0.0,0.08,0.03,0.0,10.08,0.44,50.33,0.19,0.0,0.1,2.69,0.02,0.0,0.0,25.98,8.0,256.0
in.rhodo-e-6,41.99,25.46,30.26,3.28,8.35,0.45,35.06,0.05,3.45,3.36,0.09,0.0,0.1,0.0,0.05,0.02,0.0,11.33,0.39,69.35,0.13,0.0,0.07,3.93,0.01,0.0,0.0,7.66,16.0,256.0
in.rhodo-e-6,58.93,35.04,41.96,5.34,11.69,1.59,64.64,0.11,4.34,5.8,0.11,0.0,0.18,0.0,0.08,0.03,0.0,12.41,0.25,67.96,0.36,0.0,0.08,4.86,0.01,0.0,0.0,3.42,32.0,256.0
in.rhodo-e-6,81.95,58.48,64.13,4.03,7.85,1.25,185.65,0.21,2.49,1.85,0.04,0.0,0.25,0.0,0.05,0.03,0.0,6.14,0.13,81.9,0.97,0.0,0.07,3.59,0.01,0.0,0.0,2.27,64.0,256.0
in.rhodo-e-6,2.97,2.89,2.93,1.11,1.36,0.87,7.19,0.05,4.52,1.39,0.04,0.0,0.03,0.0,0.03,0.05,0.0,14.1,2.89,19.84,0.09,0.0,0.04,4.63,0.0,0.0,0.0,52.32,2.0,864.0
in.rhodo-e-6,6.74,6.17,6.47,2.74,4.23,1.81,16.7,0.07,1.15,2.4,0.04,0.0,0.03,0.0,0.02,0.01,0.0,6.06,2.66,9.97,0.1,0.0,0.06,2.33,0.0,0.0,0.0,75.1,4.0,864.0
in.rhodo-e-6,10.51,9.29,10.01,2.22,2.58,1.87,27.49,0.11,4.26,2.99,0.05,0.0,0.04,0.0,0.04,0.03,0.0,9.44,2.42,20.48,0.14,0.0,0.07,4.28,0.01,0.0,0.0,55.64,8.0,864.0
in.rhodo-e-6,20.25,13.79,16.1,4.17,6.84,2.85,49.71,0.07,6.35,3.02,0.08,0.0,0.07,0.0,0.06,0.08,0.0,18.92,1.44,25.88,0.19,0.0,0.08,6.83,0.01,0.0,0.0,36.91,16.0,864.0
in.rhodo-e-6,38.59,23.59,26.56,3.62,5.79,1.79,100.26,0.09,4.71,3.15,0.07,0.0,0.12,0.0,0.05,0.04,0.0,10.78,0.92,57.25,0.28,0.0,0.08,7.31,0.01,0.0,0.0,15.14,32.0,864.0
in.rhodo-e-6,62.45,37.18,41.79,4.7,7.65,1.19,227.21,0.17,7.16,1.44,0.04,0.0,0.21,0.0,0.04,0.05,0.0,9.61,0.46,66.92,0.79,0.0,0.09,6.34,0.01,0.0,0.0,6.67,64.0,864.0
in.rhodo-e-6,21.74,14.89,18.52,2.2,2.84,1.64,1.51,3.89,0.0,4.89,0.39,0.0,0.0,0.0,0.1,0.12,0.0,0.26,2.33,84.33,1.71,0.0,0.0,1.59,0.01,0.0,0.0,0.36,2.0,2048.0
in.rhodo-e-6,8.1,7.29,7.52,4.97,5.52,4.61,49.04,0.17,0.63,0.55,0.04,0.0,0.01,0.0,0.01,0.1,0.0,1.63,0.57,2.62,0.04,0.0,0.03,1.89,0.0,0.0,0.0,91.72,4.0,2048.0
in.rhodo-e-6,10.89,9.51,10.17,4.94,5.79,4.55,68.78,0.08,4.35,0.95,0.03,0.0,0.02,0.0,0.01,0.03,0.0,4.06,0.53,8.54,0.11,0.0,0.03,1.89,0.0,0.0,0.0,79.38,8.0,2048.0
in.rhodo-e-6,14.23,11.57,12.24,3.81,5.85,3.01,86.58,0.06,5.55,1.56,0.04,0.0,0.04,0.0,0.02,0.04,0.0,7.35,0.3,12.57,0.1,0.0,0.06,4.26,0.0,0.0,0.0,68.05,16.0,2048.0
in.rhodo-e-6,26.88,18.05,20.42,2.84,6.19,1.01,168.76,0.07,8.07,1.64,0.04,0.0,0.07,0.0,0.03,0.04,0.0,7.09,0.24,41.33,0.16,0.0,0.07,4.77,0.01,0.0,0.0,36.39,32.0,2048.0
