Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.chain,2048,8,Modify,1.4036,1.5852,2.6841,33.0,12.47
in.chain,2048,8,Other,,1.394,,,10.96
in.chain,2048,16,Pair,0.91602,1.0186,1.7294,18.3,15.10
in.chain,2048,16,Bond,0.18406,0.20905,0.42231,12.1,3.10
in.chain,2048,16,Neigh,1.5207,1.5696,1.5834,1.3,23.26
in.chain,2048,16,Comm,1.2567,2.0573,2.4714,34.7,30.49
in.chain,2048,16,Output,0.016428,0.020364,0.032101,4.7,0.30
in.chain,2048,16,Modify,0.70449,0.7897,1.367,16.9,11.70
in.chain,2048,16,Other,,1.082,,,16.04
in.chain,2048,32,Pair,0.48393,0.55016,0.94554,9.9,14.52
in.chain,2048,32,Bond,0.09612,0.10994,0.15903,3.0,2.90
in.chain,2048,32,Neigh,0.69963,0.77222,0.84707,3.2,20.38
in.chain,2048,32,Comm,0.79708,1.176,1.5744,28.1,31.04
in.chain,2048,32,Output,0.00026675,0.015623,0.016198,2.2,0.41
in.chain,2048,32,Modify,0.36292,0.42105,0.66235,7.2,11.11
in.chain,2048,32,Other,,0.7442,,,19.64
in.chain,2048,64,Pair,0.26289,0.28839,0.45828,5.7,12.62
in.chain,2048,64,Bond,0.047805,0.057145,0.081934,3.4,2.50
in.chain,2048,64,Neigh,0.50645,0.53762,0.55697,2.0,23.53
in.chain,2048,64,Comm,0.43193,0.60893,0.86242,19.2,26.65
in.chain,2048,64,Output,0.00016744,0.00049777,0.00074846,0.0,0.02
in.chain,2048,64,Modify,0.19044,0.2141,0.41649,6.9,9.37
in.chain,2048,64,Other,,0.5783,,,25.31
in.chute,32,2,Pair,0.084378,0.099528,0.11468,4.8,33.32
in.chute,32,2,Neigh,0.020897,0.026501,0.032104,3.4,8.87
in.chute,32,2,Comm,0.01054,0.018344,0.026149,5.8,6.14
in.chute,32,2,Output,7.9784e-05,0.0001895,0.00029922,0.0,0.06
in.chute,32,2,Modify,0.034743,0.063235,0.091727,11.3,21.17
in.chute,32,2,Other,,0.0909,,,30.43
in.chute,32,4,Pair,0.037493,0.050076,0.082147,8.3,31.18
in.chute,32,4,Neigh,0.0081007,0.01,0.010682,1.1,6.23
in.chute,32,4,Comm,0.0073344,0.015846,0.02436,6.6,9.87
in.chute,32,4,Output,4.8539e-05,9.249e-05,0.0001424,0.0,0.06
in.chute,32,4,Modify,0.015956,0.019206,0.028743,4.0,11.96
in.chute,32,4,Other,,0.0654,,,40.72
in.chute,32,8,Pair,0.018375,0.020524,0.023012,1.3,22.68
in.chute,32,8,Neigh,0.0042134,0.0052912,0.0054894,0.6,5.85
in.chute,32,8,Comm,0.006345,0.010049,0.019941,5.6,11.11
in.chute,32,8,Output,2.9258e-05,6.4459e-05,0.00010273,0.0,0.07
in.chute,32,8,Modify,0.0079689,0.0098299,0.02233,4.8,10.86
in.chute,32,8,Other,,0.04473,,,49.43
in.chute,32,16,Pair,0.0079211,0.0092522,0.010469,0.9,25.27
in.chute,32,16,Neigh,0.0021743,0.0027385,0.0028109,0.3,7.48
in.chute,32,16,Comm,0.0046368,0.0080779,0.018,6.3,22.06
in.chute,32,16,Output,2.1324e-05,4.1606e-05,5.7974e-05,0.0,0.11
in.chute,32,16,Modify,0.0031308,0.0039713,0.0040668,0.3,10.85
in.chute,32,16,Other,,0.01254,,,34.24
in.chute,32,32,Pair,0.0023901,0.0042101,0.0054701,1.5,15.49
in.chute,32,32,Neigh,0.0010669,0.0013483,0.0014971,0.4,4.96
in.chute,32,32,Comm,0.0037917,0.007369,0.016657,6.0,27.11
in.chute,32,32,Output,1.9448e-05,3.518e-05,5.4472e-05,0.0,0.13
in.chute,32,32,Modify,0.001535,0.0019383,0.0021415,0.5,7.13
in.chute,32,32,Other,,0.01228,,,45.18
in.chute,32,64,Pair,0.001164,0.0019561,0.0026263,0.9,7.99
in.chute,32,64,Neigh,0.00053702,0.00066562,0.00076733,0.0,2.72
in.chute,32,64,Comm,0.0046223,0.0061569,0.018214,3.4,25.14
in.chute,32,64,Output,1.8482e-05,3.227e-05,5.6087e-05,0.0,0.13
in.chute,32,64,Modify,0.00076946,0.00095707,0.0011403,0.0,3.91
in.chute,32,64,Other,,0.01472,,,60.11
in.chute,256,2,Pair,0.28368,0.35623,0.42878,12.2,34.72
in.chute,256,2,Neigh,0.079314,0.10205,0.12478,7.1,9.94
in.chute,256,2,Comm,0.039281,0.078511,0.11774,14.0,7.65
in.chute,256,2,Output,0.00031263,0.00073651,0.0011604,0.0,0.07
in.chute,256,2,Modify,0.13635,0.16217,0.18798,6.4,15.80
in.chute,256,2,Other,,0.3264,,,31.81
in.chute,256,4,Pair,0.15615,0.17686,0.23638,8.2,30.05
in.chute,256,4,Neigh,0.041357,0.047177,0.064047,4.5,8.01
in.chute,256,4,Comm,0.034231,0.058453,0.082505,9.7,9.93
in.chute,256,4,Output,0.00015196,0.00027255,0.00057288,0.0,0.05
in.chute,256,4,Modify,0.065086,0.087152,0.15057,12.4,14.81
in.chute,256,4,Other,,0.2187,,,37.16
in.chute,256,8,Pair,0.08258,0.091012,0.14648,7.0,30.24
in.chute,256,8,Neigh,0.020762,0.02226,0.032016,2.5,7.40
in.chute,256,8,Comm,0.01286,0.013254,0.013814,0.3,4.40
in.chute,256,8,Output,7.7341e-05,0.00011963,0.00029459,0.0,0.04
in.chute,256,8,Modify,0.032599,0.034576,0.043775,1.9,11.49
in.chute,256,8,Other,,0.1397,,,46.43
in.chute,256,16,Pair,0.037178,0.040335,0.049939,1.7,25.05
in.chute,256,16,Neigh,0.010473,0.011433,0.024101,3.1,7.10
in.chute,256,16,Comm,0.0089657,0.021269,0.025778,4.7,13.21
in.chute,256,16,Output,5.0026e-05,8.4095e-05,0.00016017,0.0,0.05
in.chute,256,16,Modify,0.01586,0.016831,0.028822,2.4,10.45
in.chute,256,16,Other,,0.07104,,,44.12
in.chute,256,32,Pair,0.015274,0.021912,0.066367,5.7,23.34
in.chute,256,32,Neigh,0.0042431,0.0052267,0.0055545,0.6,5.57
in.chute,256,32,Comm,0.0063541,0.0068243,0.0071945,0.3,7.27
in.chute,256,32,Output,3.3613e-05,6.931e-05,0.0001314,0.0,0.07
in.chute,256,32,Modify,0.0063329,0.0077185,0.0081051,0.7,8.22
in.chute,256,32,Other,,0.05213,,,55.53
in.chute,256,64,Pair,0.0066749,0.0087479,0.010623,1.6,15.45
in.chute,256,64,Neigh,0.0021465,0.0025474,0.0028171,0.6,4.50
in.chute,256,64,Comm,0.0063444,0.011083,0.036783,8.9,19.57
in.chute,256,64,Output,2.5424e-05,5.2721e-05,8.1298e-05,0.0,0.09
in.chute,256,64,Modify,0.0031421,0.0037146,0.0040911,0.7,6.56
in.chute,256,64,Other,,0.03047,,,53.82
in.chute,864,2,Pair,0.67879,0.92931,1.1798,26.0,40.61
in.chute,864,2,Neigh,0.18647,0.23618,0.28589,10.2,10.32
in.chute,864,2,Comm,0.084115,0.12751,0.17091,12.2,5.57
in.chute,864,2,Output,0.00054821,0.00056704,0.00058588,0.0,0.02
in.chute,864,2,Modify,0.29424,0.36773,0.44123,12.1,16.07
in.chute,864,2,Other,,0.6273,,,27.41
in.chute,864,4,Pair,0.32126,0.33241,0.35561,2.4,27.79
in.chute,864,4,Neigh,0.093146,0.10828,0.15172,7.6,9.05
in.chute,864,4,Comm,0.064056,0.17351,0.28321,23.0,14.51
in.chute,864,4,Output,0.00033731,0.00058447,0.0011923,0.0,0.05
in.chute,864,4,Modify,0.14666,0.16668,0.2204,7.6,13.93
in.chute,864,4,Other,,0.4147,,,34.67
in.chute,864,8,Pair,0.17772,0.19268,0.28734,8.2,28.81
in.chute,864,8,Neigh,0.046832,0.049585,0.068015,3.1,7.41
in.chute,864,8,Comm,0.021644,0.022254,0.023301,0.4,3.33
in.chute,864,8,Output,0.00017106,0.00027359,0.00066377,0.0,0.04
in.chute,864,8,Modify,0.0738,0.083908,0.14313,7.7,12.55
in.chute,864,8,Other,,0.3201,,,47.87
