Benchmark,MPI_(%),MPI_Time,MPI_Allreduce,MPI_Waitany,MPI_Sendrecv,MPI_Bcast,MPI_Alltoall,MPI_Allgather,MPI_Cart_get,MPI_Comm_rank,MPI_Barrier,MPI_Finalize,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Comm_size,MPI_Init,MPI_Comm_free,MPI_Irecv,MPI_Cart_rank,MPI_Alltoallv,MPI_Wait,MPI_Cart_shift,MPI_Cart_create,Processes,Size
in.rhodo-single,84.94,303.0,19.66,29.91,2.11,13.26,0.66,0.13,0.0,0.0,0.42,0.04,0.02,0.0,0.55,0.0,12.17,0.0,0.05,0.0,1.43,19.59,0.0,0.01,32.0,32.0
in.rhodo-single,88.49,513.86,24.57,23.94,0.62,2.67,0.98,0.01,0.0,0.0,0.74,0.11,0.02,0.0,0.65,0.0,28.39,0.0,0.07,0.0,4.91,12.31,0.0,0.01,64.0,32.0
in.rhodo-single,0.08,0.09,2.45,0.0,0.0,0.21,0.06,0.02,0.0,0.01,0.06,24.68,0.22,0.59,0.0,0.0,66.76,1.83,0.0,0.0,2.99,0.0,0.0,0.13,1.0,256.0
in.rhodo-single,14.78,17.41,33.15,8.44,1.62,5.91,1.17,0.0,0.0,0.0,0.17,0.1,0.01,0.0,15.86,0.0,6.82,0.0,0.01,0.0,0.37,26.21,0.0,0.16,2.0,256.0
in.rhodo-single,40.69,53.55,31.47,7.76,2.75,3.63,0.5,0.0,0.0,0.0,0.46,0.07,0.01,0.0,6.61,0.0,2.22,0.0,0.01,0.0,0.07,44.13,0.0,0.31,4.0,256.0
in.rhodo-single,56.3,87.29,30.94,9.4,2.23,6.76,0.14,0.0,0.0,0.0,0.01,0.03,0.01,0.0,1.22,0.0,3.46,0.0,0.01,0.0,0.02,45.76,0.0,0.01,8.0,256.0
in.rhodo-single,64.91,121.65,25.81,17.38,2.02,12.26,0.89,0.12,0.0,0.0,0.01,0.24,0.01,0.0,0.91,0.0,8.53,0.0,0.02,0.0,0.82,30.62,0.0,0.38,16.0,256.0
in.rhodo-single,78.71,246.2,16.66,14.61,1.67,21.48,1.51,0.01,0.0,0.0,1.23,0.06,0.02,0.0,0.47,0.0,14.95,0.0,0.02,0.0,9.33,17.7,0.0,0.29,32.0,256.0
in.rhodo-single,85.34,459.8,24.85,13.64,0.97,9.63,1.06,0.7,0.0,0.0,0.45,0.47,0.73,0.0,0.43,0.0,31.83,0.0,0.03,0.0,3.57,10.61,0.0,1.02,64.0,256.0
in.rhodo-single,0.03,0.1,2.9,0.0,0.0,0.2,0.08,0.01,0.0,0.01,0.04,22.13,0.2,0.55,0.0,0.0,49.46,2.21,0.0,0.0,22.09,0.0,0.0,0.12,1.0,864.0
in.rhodo-single,7.84,29.53,27.83,14.32,2.33,10.42,0.71,0.0,0.0,0.0,0.43,0.1,0.01,0.0,14.8,0.0,3.96,0.0,0.01,0.0,1.02,23.92,0.0,0.15,2.0,864.0
in.rhodo-single,32.54,127.16,21.8,4.09,3.78,4.21,0.25,0.02,0.0,0.0,0.09,0.07,0.0,0.0,10.14,0.0,0.98,0.0,0.03,0.0,0.05,54.48,0.0,0.02,4.0,864.0
in.rhodo-single,47.16,198.21,22.26,6.42,4.62,4.27,0.35,0.1,0.0,0.0,0.15,0.01,0.0,0.0,6.18,0.0,1.53,0.0,0.01,0.0,0.01,54.0,0.0,0.08,8.0,864.0
in.rhodo-single,60.79,320.14,27.78,17.21,1.95,9.86,0.59,0.2,0.0,0.0,0.19,0.02,0.19,0.0,2.68,0.0,3.29,0.0,0.02,0.0,1.48,34.43,0.0,0.13,16.0,864.0
in.rhodo-single,70.31,488.15,30.51,18.51,0.78,13.21,0.95,0.13,0.0,0.0,0.46,0.03,0.01,0.0,0.93,0.0,7.63,0.0,0.02,0.0,3.01,23.83,0.0,0.01,32.0,864.0
in.rhodo-single,73.56,641.03,23.22,14.98,0.94,7.59,1.71,0.01,0.0,0.0,0.94,0.29,0.01,0.0,0.9,0.0,22.76,0.0,0.03,0.0,8.55,17.76,0.0,0.31,64.0,864.0
in.rhodo-single,0.41,0.08,0.9,0.0,0.0,0.23,0.16,0.65,0.0,0.01,0.04,0.0,1.92,0.0,0.0,0.0,61.74,0.01,0.0,0.0,34.16,0.0,0.0,0.15,1.0,2048.0
in.rhodo-single,16.1,2.15,10.62,0.0,1.23,25.33,7.41,0.0,0.0,0.0,0.65,0.0,0.07,0.0,0.4,0.0,51.89,0.0,0.0,0.0,0.83,1.53,0.0,0.03,2.0,2048.0
in.rhodo-single,32.9,307.54,20.62,2.9,2.91,2.0,0.17,0.0,0.0,0.0,0.1,0.01,0.03,0.0,17.53,0.0,0.38,0.0,0.01,0.0,0.02,53.3,0.0,0.02,4.0,2048.0
in.rhodo-single,43.27,402.75,21.84,4.62,3.25,1.5,0.31,0.0,0.0,0.0,0.1,0.01,0.05,0.0,7.97,0.0,0.77,0.0,0.02,0.0,0.01,59.54,0.0,0.02,8.0,2048.0
in.rhodo-single,51.2,508.94,23.22,21.49,1.8,1.26,0.25,0.0,0.0,0.0,0.08,0.01,0.0,0.0,6.44,0.0,2.03,0.0,0.02,0.0,0.08,43.27,0.0,0.05,16.0,2048.0
in.rhodo-single,58.48,679.33,27.77,25.08,1.21,4.31,0.64,0.0,0.0,0.0,0.14,0.05,0.01,0.0,2.73,0.0,5.45,0.0,0.02,0.0,1.08,31.44,0.0,0.06,32.0,2048.0
in.rhodo-single,62.69,898.84,30.3,19.92,0.76,1.87,0.68,0.0,0.0,0.0,0.05,0.18,0.01,0.0,1.14,0.0,16.18,0.0,0.03,0.0,3.14,25.73,0.0,0.01,64.0,2048.0
