Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.lj,2048,4,Neigh,5.288e-06,7.4143e-06,1.2746e-05,0.0,0.00
in.lj,2048,4,Comm,0.36109,0.43402,0.49978,5.9,44.62
in.lj,2048,4,Output,0.0006185,0.0036385,0.0073231,3.0,0.37
in.lj,2048,4,Modify,0.041259,0.043164,0.046079,0.4,4.44
in.lj,2048,4,Other,,0.04143,,,4.26
in.lj,2048,6,Pair,0.20483,0.2924,0.36388,10.4,39.04
in.lj,2048,6,Neigh,5.12e-06,7.3374e-06,1.4955e-05,0.0,0.00
in.lj,2048,6,Comm,0.29349,0.35978,0.44048,8.2,48.04
in.lj,2048,6,Output,0.00071407,0.0028249,0.0051147,2.0,0.38
in.lj,2048,6,Modify,0.045149,0.052007,0.062212,2.8,6.94
in.lj,2048,6,Other,,0.04196,,,5.60
in.lj,2048,6,Pair,0.25817,0.38931,0.49462,12.8,40.45
in.lj,2048,6,Neigh,4.237e-06,8.1377e-06,1.7483e-05,0.0,0.00
in.lj,2048,6,Comm,0.37484,0.47822,0.60516,10.9,49.69
in.lj,2048,6,Output,0.00056931,0.0040883,0.0076193,3.1,0.42
in.lj,2048,6,Modify,0.042338,0.04664,0.053337,1.5,4.85
in.lj,2048,6,Other,,0.04417,,,4.59
in.lj,2048,6,Pair,0.17735,0.25109,0.31946,8.9,38.43
in.lj,2048,6,Neigh,4.558e-06,8.3205e-06,1.8801e-05,0.0,0.00
in.lj,2048,6,Comm,0.2389,0.30171,0.36931,7.1,46.18
in.lj,2048,6,Output,0.00061768,0.0024971,0.004271,2.0,0.38
in.lj,2048,6,Modify,0.050218,0.056476,0.066384,2.2,8.64
in.lj,2048,6,Other,,0.04158,,,6.36
in.lj,2048,8,Pair,0.26101,0.29037,0.33039,3.3,42.89
in.lj,2048,8,Neigh,4.905e-06,7.1477e-06,1.3916e-05,0.0,0.00
in.lj,2048,8,Comm,0.25023,0.29008,0.31953,3.4,42.85
in.lj,2048,8,Output,0.00057613,0.0020628,0.0036712,2.0,0.30
in.lj,2048,8,Modify,0.049735,0.053397,0.056893,0.6,7.89
in.lj,2048,8,Other,,0.0411,,,6.07
in.lj,2048,8,Pair,0.36765,0.40692,0.45517,3.0,48.21
in.lj,2048,8,Neigh,5.185e-06,8.753e-06,1.7032e-05,0.0,0.00
in.lj,2048,8,Comm,0.2969,0.34525,0.38767,3.3,40.90
in.lj,2048,8,Output,0.00057788,0.0023009,0.004575,2.3,0.27
in.lj,2048,8,Modify,0.044378,0.045972,0.048753,0.4,5.45
in.lj,2048,8,Other,,0.04367,,,5.17
in.lj,2048,8,Pair,0.22285,0.24621,0.274,2.0,40.61
in.lj,2048,8,Neigh,5.089e-06,8.3311e-06,1.5758e-05,0.0,0.00
in.lj,2048,8,Comm,0.22678,0.25394,0.27898,2.1,41.89
in.lj,2048,8,Output,0.00065333,0.0017691,0.0029203,1.7,0.29
in.lj,2048,8,Modify,0.060255,0.06345,0.066656,0.7,10.47
in.lj,2048,8,Other,,0.04089,,,6.74
in.rhodo,32,1,Pair,0.49166,0.54017,0.60014,5.8,12.82
in.rhodo,32,1,Bond,1.0224,1.1082,1.1902,5.9,26.30
in.rhodo,32,1,Kspace,0.84963,0.92764,1.0327,7.0,22.02
in.rhodo,32,1,Neigh,0.09074,0.093904,0.096023,0.7,2.23
in.rhodo,32,1,Comm,0.28007,0.31152,0.33404,3.4,7.39
in.rhodo,32,1,Output,0.00083837,0.00089392,0.0011162,0.0,0.02
in.rhodo,32,1,Modify,1.0916,1.1646,1.2654,6.4,27.64
in.rhodo,32,1,Other,,0.06674,,,1.58
in.rhodo,32,2,Pair,0.78445,0.82655,0.88416,2.8,22.76
in.rhodo,32,2,Bond,0.46468,0.55557,0.642,6.5,15.30
in.rhodo,32,2,Kspace,1.0479,1.1342,1.2352,4.5,31.23
in.rhodo,32,2,Neigh,0.051897,0.052408,0.05308,0.1,1.44
in.rhodo,32,2,Comm,0.22869,0.24319,0.27007,3.5,6.70
in.rhodo,32,2,Output,0.00092137,0.00094992,0.0012149,0.0,0.03
in.rhodo,32,2,Modify,0.68496,0.77512,0.83903,5.4,21.34
in.rhodo,32,2,Other,,0.04357,,,1.20
in.rhodo,32,4,Pair,0.31309,0.35576,0.39396,4.0,13.73
in.rhodo,32,4,Bond,0.50278,0.57388,0.63013,5.6,22.15
