;EXEC_TIME;PERFORMANCE;POWER;NAME;PROCS;SIZE;POWEREFF;PAREFF
84;22.70522141456604;28.35300925925926;299.0897853839038;rhodo;16;256;0.09479765155759526;92.75151449588923
91;13.584345960617066;52.39467592592592;389.8701283160007;rhodo;32;256;0.1343900753623744;85.69964301168324
97;10.437869135538737;83.07947530864197;356.26045907681504;rhodo;64;256;0.23319869828924464;67.9447028703303
87;1093.3723717212677;0.5532407407407407;192.02403029513485;rhodo;1;864;0.0028811015990573012;100.0
89;553.6839310646058;1.0925925925925926;194.51988135374228;rhodo;2;864;0.005616868491738737;98.74476987447699
95;279.97765545845033;2.1631944444444446;211.4461048824593;rhodo;4;864;0.010230476677009217;97.75104602510461
101;142.7123372554779;4.261574074074074;241.938368;rhodo;8;864;0.01761429619164032;96.28661087866111
85;75.14271240234375;8.193287037037036;302.6986715518422;rhodo;16;864;0.027067469424403467;92.56014644351464
92;40.65904221534729;15.671296296296294;409.59958333333327;rhodo;32;864;0.03826003964350459;88.51987447698744
98;27.020127693812054;25.37847222222223;481.1405555555556;rhodo;64;864;0.0527464831828999;71.67560146443518
93;665.8561733563741;0.9066358024691358;226.08479420731706;rhodo;4;2048;0.004010158249022982;100.0
99;338.44292521476746;1.7881944444444444;257.01895674300255;rhodo;8;2048;0.006957441844386947;98.61702127659574
83;174.66188502311707;3.4837962962962963;316.71304540420823;rhodo;16;2048;0.010999850959249456;96.06382978723404
90;93.69992907842;6.595293209876543;431.872706935123;rhodo;32;2048;0.015271382293827853;90.93085106382978
96;59.27308932940165;10.77739197530864;490.61979591836734;rhodo;64;2048;0.021966891806994793;74.29521276595743
