;EXEC_TIME;PERFORMANCE;POWER;NAME;PROCS;SIZE;PAREFF
286;5.7941137790679935;115.26283749999999;;lj-single;64;2048;60.15498032981611
476;38.60421562194824;15.96327861952862;200.8453409090909;rhodo;1;32;100.0
477;20.442131686210633;31.29976851851852;210.0069325689436;rhodo;2;32;98.03677948785551
479;11.059552478790284;60.20081018518518;225.65086363636365;rhodo;4;32;94.2801469861253
481;6.427352666854858;114.08622685185188;252.77706043956042;rhodo;8;32;89.33489602214681
475;4.288521480560303;208.5752314814815;293.481898989899;rhodo;16;32;81.66212141185777
478;3.723758816719055;347.4415509259259;340.06438888888886;rhodo;32;32;68.01577999868174
480;4.338571810722351;513.4949845679012;293.6464181577477;rhodo;64;32;50.26134871854023
456;316.5461243220738;1.9105489417989416;195.82170976101494;rhodo;1;256;100.0
458;160.42228512763978;3.7870370370370376;197.5519468438538;rhodo;2;256;99.10861099091305
464;82.30871343612671;7.424768518518518;211.7939731543624;rhodo;4;256;97.1549112938122
470;42.139067602157596;14.712962962962964;241.93270833333332;rhodo;8;256;96.2613587191692
454;22.70522141456604;28.35300925925926;299.0897853839038;rhodo;16;256;92.75151449588923
461;13.584345960617066;52.39467592592592;389.8701283160007;rhodo;32;256;85.69964301168325
467;10.437869135538737;83.07947530864197;356.26045907681504;rhodo;64;256;67.9447028703303
457;1093.3723717212677;0.5532407407407407;192.02403029513485;rhodo;1;864;100.0
459;553.6839310646058;1.0925925925925926;194.51988135374228;rhodo;2;864;98.74476987447699
465;279.97765545845033;2.1631944444444446;211.4461048824593;rhodo;4;864;97.75104602510461
471;142.7123372554779;4.261574074074074;241.938368;rhodo;8;864;96.28661087866111
455;75.14271240234375;8.193287037037036;302.6986715518422;rhodo;16;864;92.56014644351464
462;40.65904221534729;15.671296296296294;409.59958333333327;rhodo;32;864;88.51987447698744
468;27.020127693812054;25.37847222222223;481.1405555555556;rhodo;64;864;71.67560146443518
463;665.8561733563741;0.9066358024691358;226.08479420731706;rhodo;4;2048;100.0
469;338.44292521476746;1.7881944444444444;257.01895674300255;rhodo;8;2048;98.61702127659575
453;174.66188502311707;3.4837962962962963;316.71304540420823;rhodo;16;2048;96.06382978723404
460;93.69992907842;6.595293209876543;431.872706935123;rhodo;32;2048;90.93085106382979
466;59.27308932940165;10.77739197530864;490.61979591836734;rhodo;64;2048;74.29521276595744
