TAG,EXEC_TIME,PERFORMANCE,POWER
256.256.256x_1n_ssocket_2ont_p110,361.58048062324525,5.6288664,118.67775868550352
256.256.256x_dsocket_128ont_p210,256.3865709781647,41.2558748,405.2958388714255
256.256.256x_dsocket_16ont_p190,236.11742081642151,29.139130599999998,258.77816371681416
256.256.256x_dsocket_1ont_p190,422.5042652606964,3.1444978,200.6251659201948
256.256.256x_dsocket_2ont_p190,351.4586458206177,5.6283966,207.11113137350443
256.256.256x_dsocket_32ont_p210,235.8633670091629,39.875004000000004,312.0881625115595
256.256.256x_dsocket_4ont_p190,274.75393400192263,10.2638428,216.04054659385457
256.256.256x_dsocket_64ont_p210,232.22966754436493,49.351842399999995,377.3503224571959
256.256.256x_dsocket_8ont_p190,250.36747756004334,17.7985026,231.5365287742571
256.256.256x_ssocket_16ont_p110,237.51971464157106,25.9186146,168.66637423659702
256.256.256x_ssocket_1ont_p110,427.9922872543335,3.1134922,112.3001173654897
256.256.256x_ssocket_2ont_p110,358.85610780715945,5.6923434,118.51836693780749
256.256.256x_ssocket_32ont_p210,220.44868540763855,30.4714284,242.25647103819315
256.256.256x_ssocket_4ont_p110,291.4173830032349,10.526417200000001,128.92785833726788
256.256.256x_ssocket_64ont_p210,228.08578157424927,29.287719700000004,246.47939386197785
256.256.256x_ssocket_8ont_p110,251.09439225196837,17.3369846,142.65524995713392
256x_128n_1ppn_1ont,36.17499041557312,,
256x_16n_1ppn_8ont,455.4061403274536,57.892571,
256x_16n_1ppn_8ont_p220,455.98266553878784,57.809994,455.7941814159292
256x_16n_2ppn_4ont,459.6012499332428,56.466782,
256x_16n_2ppn_4ont_p220,459.1469016075134,56.363517,448.9667256637168
256x_1n_1ppn_128ont_p220,239.58944392204285,49.027412,333.8909895833333
256x_1n_1ppn_1ont_p190,425.27805268764496,3.1095143,199.1226827660439
256x_1n_1ppn_2ont_p190,352.96747794151304,5.7334901,205.92381534564362
256x_2n_2ppn_32ont,232.2047123908997,56.991987,
256x_2n_2ppn_32ont_p220,233.82291173934937,57.054426,353.18439393939394
256x_32n_1ppn_4ont,759.2213182449341,57.391536,
256x_32n_1ppn_4ont_p220,759.3004095554352,57.3028,482.4611111111111
256x_32n_2ppn_2ont,763.216292142868,56.117376,
256x_32n_2ppn_2ont_p220,765.6283855438232,55.932225,481.0705687830688
256x_4n_1ppn_32ont,268.810742855072,58.056168,
256x_4n_1ppn_32ont_p220,268.85562324523926,57.922648,396.04912
256x_4n_2ppn_16ont,261.70675563812256,57.476277,
256x_4n_2ppn_16ont_p220,262.7080171108246,57.314085,387.06312
256x_64n_1ppn_2ont,1414.2937409877777,56.749082,
256x_64n_1ppn_2ont_p220,1413.7042739391327,56.806063,497.87546989721
256x_64n_2ppn_1ont,1413.7658166885376,56.611611,
256x_64n_2ppn_1ont_p220,1416.242061138153,56.525422,497.3551450813871
256x_8n_1ppn_16ont,346.68097853660583,58.79113,
256x_8n_1ppn_16ont_p220,345.6111238002777,58.679977,420.7442857142857
256x_8n_2ppn_8ont,343.788907289505,57.507381,
256x_8n_2ppn_8ont_p220,346.174658536911,57.31967,410.656511627907
320x_1n_1ppn_128ont_p220,406.534702539444,49.394,363.7163197026022
320x_1n_2ppn_128ont_p220,406.24347257614136,50.663388,369.6597818181818
32x_128n_1ppn_1ont,68.42793130874634,57.252019,
32x_128n_1ppn_1ont_p220,70.14668297767639,56.94526,483.2322916666666
32x_16n_1ppn_8ont,63.26283574104309,70.479046,
32x_16n_1ppn_8ont_p220,61.60346531867981,70.331103,494.46375
32x_16n_2ppn_4ont,62.95756673812866,72.626427,
