Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:29:07  24.5   0.0   0.5  75.0   0.0   33   1513   9451    0    0    0 412.48 
12:29:08  45.5   0.0   1.2  53.3   0.0   65   1297  16089    0    0    0 506.18 
12:29:09  40.7   0.0   1.1  58.2   0.0   33   1353  14515    0    0    0 486.81 
12:29:10  24.2   0.0   0.8  75.0   0.0   33   1209   9191    0    0    0 412.63 
12:29:11  44.5   0.0   1.1  54.4   0.0   65   1546  15840    0    0    0 493.05 
12:29:12  32.1   0.0   0.8  67.1   0.0   33   1227  11627    0    0    0 446.29 
12:29:13  31.2   0.0   0.8  68.0   0.0   65   1279  11557    0    0    0 441.74 
12:29:14  47.5   0.0   1.3  51.2   0.0   65   1381  16740    0    0    0 517.27 
12:29:15  31.6   0.0   1.1  67.3   0.0   33   1557  11658    0    0    0 445.78 
12:29:16  30.2   0.0   0.8  69.0   0.0   65   1279  11191    0    0    0 433.58 
12:29:17  45.9   0.0   1.3  52.8   0.0   33   1240  16065    0    0    0 504.22 
12:29:18  24.5   0.0   0.6  75.0   0.0   33   1218   9171    0    0    0 412.72 
12:29:19  41.3   0.0   1.1  57.6   0.0   65   1552  14758    0    0    0 484.74 
12:29:20  45.2   0.0   0.9  54.0   0.0   33   1413  15851    0    0    0 505.95 
12:29:21  24.0   0.0   1.0  75.0   0.0   33   1240   9190    0    0    0 413.09 
12:29:22  40.9   0.0   1.0  58.2   0.0   65   1352  14615    0    0    2 475.32 
12:29:23  35.9   0.0   1.2  62.9   0.0   33   1525  13055    0    0    0 463.58 
12:29:24  27.2   0.0   0.6  72.3   0.0   65   2668  10654    0    0    0 424.49 
12:29:25  47.9   0.0   1.1  51.0   0.0   65   1993  17145    0    0    0 515.44 
12:29:26  36.2   0.0   1.0  62.8   0.0   33   1306  13069    0    0    0 465.16 
12:29:27  25.8   0.0   0.6  73.6   0.0   63   1497   9724    0    0    0 416.19 
12:29:28  49.0   0.0   1.0  50.0   0.0   65   1314  17088    0    0    0 509.62 
12:29:29  26.6   0.0   0.5  72.8   0.0   33   1229   9881    0    0    0 422.68 
12:29:30  36.6   0.0   0.7  62.7   0.0   65   1276  13008    0    0    0 462.55 
12:29:31  47.3   0.0   1.3  51.4   0.0   65   1592  16736    0    0    0 516.49 
12:29:32  26.7   0.0   0.7  72.6   0.0   33   1359  10045    0    0    0 423.91 
12:29:33  36.1   0.0   0.8  63.0   0.0   65   1237  13030    0    0    0 454.92 
12:29:34  40.6   0.0   1.1  58.3   0.0   33   1384  14520    0    0    0 481.87 
12:29:35  24.5   0.0   0.5  75.0   0.0   33   1497   9280    0    0    0 411.70 
12:29:36  46.4   0.0   1.2  52.4   0.0   49   1333  16379    0    0    0 509.35 
12:29:37  40.2   0.0   0.9  58.9   0.0   33   1265  14285    0    0    0 483.06 
12:29:38  24.4   0.0   0.6  75.0   0.0   33   1233   9216    0    0    0 411.98 
12:29:39  46.4   0.0   1.0  52.6   0.0   65   1538  16363    0    0    0 497.52 
12:29:40  30.8   0.0   0.6  68.6   0.0   33   1267  11174    0    0    0 440.96 
12:29:41  32.9   0.0   0.7  66.5   0.0   65   1267  11865    0    0    0 447.36 
12:29:42  47.7   0.0   1.2  51.1   0.0   65   1289  16893    0    0    0 517.72 
12:29:43  29.8   0.0   0.9  69.3   0.0   33   1530  10997    0    0    0 438.08 
12:29:44  32.6   0.0   0.7  66.6   0.0   65   1321  11896    0    0    0 442.04 
12:29:45  44.0   0.0   1.1  54.9   0.0   33   1276  15484    0    0    0 495.17 
12:29:46  24.6   0.0   0.4  75.0   0.0   33   1205   9085    0    0    0 412.56 
12:29:47  43.9   0.0   0.9  55.2   0.0   65   1525  15574    0    0    0 496.52 
12:29:48  42.6   0.0   1.0  56.4   0.0   33   1348  15018    0    0    0 494.00 
12:29:49  24.3   0.0   0.7  75.0   0.0   33   1218   9034    0    0    0 413.03 
12:29:50  42.6   0.0   1.1  56.2   0.0   65   1227  15083    0    0    0 485.08 
12:29:51  34.1   0.0   0.8  65.0   0.0   33   1525  12404    0    0    0 454.52 
12:29:52  29.0   0.0   0.6  70.4   0.0   65   1279  10611    0    0    0 431.30 
12:29:53  48.2   0.0   0.9  50.9   0.0   65   1242  16709    0    0    0 516.25 
12:29:54  33.7   0.0   1.0  65.2   0.0   33   1414  12303    0    0    0 455.48 
12:29:55  28.8   0.0   0.5  70.8   0.0   65   1466  10497    0    0    0 423.43 
12:29:56  48.6   0.0   1.2  50.2   0.0   34   1408  17186    0    0    0 512.71 
12:29:57  24.6   0.0   0.5  75.0   0.0   33   1233   9175    0    0    0 413.16 
12:29:58  39.1   0.0   0.7  60.2   0.0   65   1288  13954    0    0    0 473.70 
12:29:59  48.0   0.0   1.0  51.0   0.0   49   1581  16833    0    0    0 516.55 
12:30:00  24.5   0.0   0.6  74.9   0.0   33   1197   9281    0    0    0 414.93 
12:30:01  38.5   0.0   0.7  60.8   0.0   65   1270  13695    0    0    0 465.54 
12:30:02  38.5   0.0   0.8  60.7   0.0   33   1244  13580    0    0    0 470.75 
12:30:03  25.2   0.0   0.4  74.4   0.0   57   1479   9437    0    0    0 416.06 
12:30:04  47.4   0.0   1.4  51.3   0.0   61   1418  16757    0    0    0 514.75 
12:30:05  38.6   0.0   0.8  60.6   0.0   33   1233  13642    0    0    0 474.47 
12:30:06  24.6   0.0   0.6  74.8   0.0   41   1292   9220    0    0    0 413.03 
12:30:07  48.4   0.0   0.9  50.7   0.0   65   1496  16945    0    0    0 505.55 
12:30:08  28.2   0.0   0.6  71.2   0.0   33   1209  10290    0    0    0 431.22 
12:30:09  35.2   0.0   0.7  64.1   0.0   65   1269  12742    0    0    0 457.61 
12:30:10  48.3   0.0   0.9  50.9   0.0   65   1295  16794    0    0    0 517.48 
12:30:11  27.6   0.0   0.8  71.7   0.0   33   1591  10443    0    0    0 428.22 
12:30:12  35.5   0.0   0.6  63.9   0.0   65   1223  12669    0    0    0 453.81 
12:30:13  41.5   0.0   0.8  57.6   0.0   33   1269  14597    0    0    0 481.82 
12:30:14  24.6   0.0   0.5  75.0   0.0   33   1286   9186    0    0    0 411.57 
12:30:15  46.5   0.0   1.1  52.4   0.0   49   1509  16368    0    0    0 509.59 
12:30:16  40.1   0.0   0.7  59.1   0.0   33   1328  14063    0    0    0 482.15 
12:30:17  24.3   0.0   0.8  75.0   0.0   33   1238   9085    0    0    0 411.98 
12:30:18  45.9   0.0   1.1  53.1   0.0   65   1250  16226    0    0    0 496.60 
12:30:19  31.0   0.0   0.5  68.5   0.0   33   1526  11169    0    0    0 441.96 
12:30:20  32.7   0.0   0.6  66.7   0.0   65   1245  11829    0    0    0 445.85 
12:30:21  48.0   0.0   1.0  51.0   0.0   65   1271  16744    0    0    0 516.97 
12:30:22  30.6   0.0   0.8  68.6   0.0   33   1362  11213    0    0    0 441.21 
12:30:23  31.6   0.0   0.9  67.5   0.0   65   1600  11602    0    0    0 437.80 
12:30:24  45.3   0.0   1.0  53.7   0.0   33   2273  16357    0    0    0 500.10 
12:30:25  24.6   0.0   0.5  75.0   0.0   33   1202   9035    0    0    0 412.45 
12:30:26  42.6   0.0   0.9  56.5   0.0   65   1300  15158    0    0    0 489.64 
12:30:27  43.9   0.0   0.8  55.3   0.0   33   1738  15527    0    0    2 499.09 
12:30:28  24.2   0.0   0.9  74.9   0.0   33   1334   9205    0    0    0 413.81 
12:30:29  42.8   0.0   0.8  56.4   0.0   65   1301  15139    0    0    0 486.39 
12:30:30  33.1   0.0   0.6  66.3   0.0   33   1275  11846    0    0    0 449.38 
12:30:31  30.9   0.0   0.5  68.6   0.0   65   1491  11235    0    0    0 438.84 
12:30:32  48.5   0.0   0.9  50.6   0.0   65   1275  16844    0    0    0 517.82 
12:30:33  32.7   0.0   0.8  66.5   0.0   33   1298  11782    0    0    0 448.80 
12:30:34  30.3   0.0   0.5  69.3   0.0   65   1309  10945    0    0    0 431.13 
12:30:35  46.1   0.0   1.1  52.8   0.0   33   1593  16360    0    0    0 503.59 
12:30:36  24.7   0.0   0.3  75.0   0.0   33   1186   9012    0    0    0 411.68 
12:30:37  42.0   0.0   0.6  57.4   0.0   65   1306  14890    0    0    0 484.33 
12:30:38  45.1   0.0   1.1  53.8   0.0   33   1340  15846    0    0    0 506.79 
12:30:39  24.5   0.0   0.6  75.0   0.0   33   1542   9198    0    0    0 413.65 
12:30:40  41.0   0.0   0.8  58.2   0.0   65   1258  14523    0    0    0 477.37 
12:30:41  35.3   0.0   0.6  64.1   0.0   33   1222  12523    0    0    0 458.15 
12:30:42  28.4   0.0   0.4  71.2   0.0   65   1252  10318    0    0    0 427.96 
12:30:43  47.5   0.0   1.2  51.3   0.0   65   1524  16673    0    0    0 515.12 
12:30:44  35.0   0.0   0.8  64.2   0.0   33   1375  12702    0    0    0 460.04 
12:30:45  27.5   0.0   0.5  72.0   0.0   65   1220  10067    0    0    0 420.56 
12:30:46  49.0   0.0   1.0  50.1   0.0   53   1214  17020    0    0    0 514.45 
12:30:47  24.8   0.0   0.3  74.9   0.0   33   1465   9203    0    0    0 413.55 
12:30:48  39.1   0.0   0.6  60.3   0.0   65   1254  13821    0    0    0 472.46 
12:30:49  47.4   0.0   1.0  51.6   0.0   34   1318  16540    0    0    0 514.93 
12:30:50  24.3   0.0   0.7  75.0   0.0   33   1204   9048    0    0    0 413.70 
12:30:51  38.9   0.0   0.7  60.4   0.0   65   1507  13812    0    0    0 468.36 
12:30:52  37.4   0.0   0.7  61.9   0.0   33   1263  13162    0    0    0 467.45 
12:30:53  26.6   0.0   0.4  73.0   0.0   65   1220   9869    0    0    0 421.67 
12:30:54  48.4   0.0   0.9  50.7   0.0   65   1330  16841    0    0    0 516.51 
12:30:55  36.2   0.0   0.9  62.9   0.0   33   1535  12956    0    0    0 465.88 
